Right model parameters in form J/(s+K): J=3.143000 K=24.940000
step1_time,step1_response,step2_time,step2_response,step3_time,step3_response
4,0,8,0,12,0
4.00369276218612,0.554396506377237,8.00369276218612,1.10879301275447,12.0036927621861,2.21758602550895
4.00738552437223,1.06001512011747,8.00738552437223,2.12003024023494,12.0073855243722,4.24006048046988
4.01107828655835,1.52114750392553,8.01107828655835,3.04229500785106,12.0110782865583,6.08459001570212
4.01477104874446,1.94170772385792,8.01477104874446,3.88341544771584,12.0147710487445,7.76683089543168
4.01846381093058,2.32526547169808,8.01846381093058,4.65053094339615,12.0184638109306,9.3010618867923
4.02215657311669,2.6750763643019,8.02215657311669,5.35015272860381,12.0221565731167,10.7003054572076
4.02584933530281,2.9941095770928,8.02584933530281,5.98821915418561,12.0258493353028,11.9764383083712
4.02954209748892,3.28507304625772,8.02954209748892,6.57014609251543,12.0295420974889,13.1402921850309
4.03323485967504,3.55043645355904,8.03323485967504,7.10087290711807,12.033234859675,14.2017458142361
4.03692762186115,3.79245218885622,8.03692762186115,7.58490437771245,12.0369276218612,15.1698087554249
4.04062038404727,4.0131744682658,8.04062038404727,8.02634893653159,12.0406203840473,16.0526978730632
4.04431314623338,4.21447677023361,8.04431314623338,8.42895354046722,12.0443131462334,16.8579070809344
4.0480059084195,4.39806773751584,8.0480059084195,8.79613547503167,12.0480059084195,17.5922709500633
4.05169867060561,4.56550568004375,8.05169867060561,9.1310113600875,12.0516986706056,18.262022720175
4.05539143279173,4.71821180177186,8.05539143279173,9.43642360354372,12.0553914327917,18.8728472070874
4.05908419497784,4.85748226377812,8.05908419497784,9.71496452755624,12.0590841949778,19.4299290551125
4.06277695716396,4.98449918600716,8.06277695716396,9.96899837201431,12.062776957164,19.9379967440286
4.06646971935007,5.10034068103868,8.06646971935007,10.2006813620774,12.0664697193501,20.4013627241547
4.07016248153619,5.2059900050472,8.07016248153619,10.4119800100944,12.0701624815362,20.8239600201888
4.0738552437223,5.30234390362576,8.0738552437223,10.6046878072515,12.0738552437223,21.209375614503
4.07754800590842,5.39022022331275,8.07754800590842,10.7804404466255,12.0775480059084,21.560880893251
4.08124076809453,5.47036485342789,8.08124076809453,10.9407297068558,12.0812407680945,21.8814594137115
4.08493353028065,5.54345805713932,8.08493353028065,11.0869161142786,12.0849335302806,22.1738322285573
4.08862629246677,5.61012024549962,8.08862629246677,11.2202404909992,12.0886262924668,22.4404809819985
4.09231905465288,5.6709172434603,8.09231905465288,11.3418344869206,12.0923190546529,22.6836689738412
4.096011816839,5.7263650925626,8.096011816839,11.4527301851252,12.096011816839,22.9054603702504
4.09970457902511,5.7769344310694,8.09970457902511,11.5538688621388,12.0997045790251,23.1077377242776
4.10339734121123,5.82305448871668,8.10339734121123,11.6461089774334,12.1033973412112,23.2922179548667
4.10709010339734,5.86511672999166,8.10709010339734,11.7302334599833,12.1070901033973,23.4604669199666
4.11078286558346,5.90347817686157,8.11078286558346,11.8069563537231,12.1107828655835,23.6139127074463
4.11447562776957,5.93846443915638,8.11447562776957,11.8769288783128,12.1144756277696,23.7538577566255
4.11816838995569,5.97037247832683,8.11816838995569,11.9407449566537,12.1181683899557,23.8814899133073
4.1218611521418,5.99947312803684,8.1218611521418,11.9989462560737,12.1218611521418,23.9978925121474
4.12555391432792,6.02601339298451,8.12555391432792,12.052026785969,12.1255539143279,24.1040535719381
4.12924667651403,6.05021854546433,8.12924667651403,12.1004370909287,12.129246676514,24.2008741818573
4.13293943870015,6.07229403746588,8.13293943870015,12.1445880749318,12.1329394387001,24.2891761498635
4.13663220088626,6.09242724453891,8.13663220088626,12.1848544890778,12.1366322008863,24.3697089781556
4.14032496307238,6.11078905622659,8.14032496307238,12.2215781124532,12.1403249630724,24.4431562249064
4.14401772525849,6.12753532656649,8.14401772525849,12.255070653133,12.1440177252585,24.510141306266
4.14771048744461,6.14280819697094,8.14771048744461,12.2856163939419,12.1477104874446,24.5712327878837
4.15140324963072,6.15673730271547,8.15140324963072,12.3134746054309,12.1514032496307,24.6269492108619
4.15509601181684,6.16944087327586,8.15509601181684,12.3388817465517,12.1550960118168,24.6777634931034
4.15878877400295,6.18102673585329,8.15878877400295,12.3620534717066,12.158788774003,24.7241069434131
4.16248153618907,6.19159323060568,8.16248153618907,12.3831864612114,12.1624815361891,24.7663729224227
4.16617429837518,6.20123004535351,8.16617429837518,12.402460090707,12.1661742983752,24.8049201814141
4.1698670605613,6.210018976845,8.1698670605613,12.42003795369,12.1698670605613,24.84007590738
4.17355982274742,6.2180346250424,8.17355982274741,12.4360692500848,12.1735598227474,24.8721385001696
4.17725258493353,6.2253450263223,8.17725258493353,12.4506900526446,12.1772525849335,24.9013801052892
4.18094534711965,6.23201223096467,8.18094534711965,12.4640244619293,12.1809453471196,24.9280489238587
4.18463810930576,6.23809282983212,8.18463810930576,12.4761856596642,12.1846381093058,24.9523713193285
4.18833087149188,6.24363843471004,8.18833087149188,12.4872768694201,12.1883308714919,24.9745537388402
4.19202363367799,6.24869611638458,8.19202363367799,12.4973922327692,12.192023633678,24.9947844655383
4.19571639586411,6.2533088041768,8.19571639586411,12.5066176083536,12.1957163958641,25.0132352167072
4.19940915805022,6.25751565032444,8.19940915805022,12.5150313006489,12.1994091580502,25.0300626012977
4.20310192023634,6.2613523623039,8.20310192023634,12.5227047246078,12.2031019202363,25.0454094492156
4.20679468242245,6.26485150591332,8.20679468242245,12.5297030118266,12.2067946824225,25.0594060236533
4.21048744460857,6.26804278168927,8.21048744460857,12.5360855633785,12.2104874446086,25.0721711267571
