Beginning Data Collection for Model Comparisons...,,,,,,
aruco_approx_dist.py Test Case 5,,,,,,
marker size: 45,,,,,,
calibration model: 14056*mpx^-0.952,,,,,,
-----------------------------------------,,,,,,
True Dist [mm], RS Meas Dist [mm], RS Error [%], Pixel Approx Dist Theoretical [mm], Pixel Theo Error [%], Pixel Approx Dist Calib [mm], Pixel Calib Error [%]
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.48,-10.8399,300.64,0.2122
300,299,-0.3333,267.48,-10.8399,300.64,0.2122
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.34,-10.8883,300.48,0.1605
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,265.95,-11.3492,299,-0.3328
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.48,-10.8399,300.64,0.2122
300,299,-0.3333,267.48,-10.8399,300.64,0.2122
300,299,-0.3333,267.48,-10.8399,300.64,0.2122
300,299,-0.3333,267.48,-10.8399,300.64,0.2122
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.48,-10.8399,300.64,0.2122
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.48,-10.8399,300.64,0.2122
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.48,-10.8399,300.64,0.2122
300,299,-0.3333,267.48,-10.8399,300.64,0.2122
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.34,-10.8883,300.48,0.1605
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.48,-10.8399,300.64,0.2122
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.48,-10.8399,300.64,0.2122
300,299,-0.3333,267.48,-10.8399,300.64,0.2122
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.48,-10.8399,300.64,0.2122
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.48,-10.8399,300.64,0.2122
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.34,-10.8883,300.48,0.1605
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,265.95,-11.3492,299,-0.3328
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.34,-10.8883,300.48,0.1605
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.48,-10.8399,300.64,0.2122
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
300,299,-0.3333,267.62,-10.7948,300.78,0.2604
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,356.15,-10.9618,394.81,-1.297
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,362.6,-9.3499,401.6,0.3996
400,398,-0.5,359.8,-10.0489,398.65,-0.3375
400,398,-0.5,362.29,-9.4273,401.27,0.3181
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.58,-10.1062,398.41,-0.3979
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
