Beginning Pixel Size Calibration Test...
-----------------------------------------
Marker Size: 44.5mm
True Dist [mm], Pixel Size [px]
500.00, 33.04
500.00, 33.30
500.00, 33.30
500.00, 33.04
500.00, 33.04
500.00, 32.80
500.00, 33.30
500.00, 33.30
500.00, 33.30
500.00, 33.30
500.00, 33.04
500.00, 33.30
500.00, 33.30
500.00, 32.81
500.00, 32.81
500.00, 33.07
500.00, 33.07
500.00, 33.07
500.00, 33.04
500.00, 33.07
500.00, 32.81
500.00, 33.30
500.00, 33.07
500.00, 33.07
500.00, 33.07
500.00, 33.30
500.00, 33.07
500.00, 33.07
500.00, 33.07
500.00, 33.30
500.00, 33.30
500.00, 33.04
500.00, 33.30
500.00, 33.07
500.00, 33.59
500.00, 33.30
500.00, 33.30
500.00, 33.04
500.00, 33.07
500.00, 33.07
500.00, 33.30
500.00, 33.30
500.00, 33.30
500.00, 33.07
500.00, 33.30
500.00, 33.07
500.00, 33.04
500.00, 33.30
500.00, 33.30
500.00, 33.07
500.00, 33.07
600.00, 27.55
600.00, 27.55
600.00, 27.28
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.28
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.81
600.00, 27.55
600.00, 27.55
600.00, 27.81
600.00, 27.55
600.00, 27.55
600.00, 27.81
600.00, 27.55
600.00, 27.81
600.00, 27.81
600.00, 27.28
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.81
600.00, 27.55
600.00, 27.55
600.00, 27.28
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.81
600.00, 27.81
600.00, 27.81
600.00, 27.81
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.81
600.00, 27.55
600.00, 27.28
600.00, 27.55
600.00, 27.55
600.00, 27.81
600.00, 27.81
600.00, 27.81
600.00, 27.55
600.00, 27.81
600.00, 27.55
600.00, 28.06
600.00, 27.55
600.00, 27.81
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.81
600.00, 27.55
600.00, 27.55
600.00, 27.28
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 27.55
600.00, 28.32
600.00, 27.55
600.00, 27.55
600.00, 28.33
600.00, 27.55
600.00, 27.55
600.00, 27.81
600.00, 27.55
600.00, 27.81
600.00, 27.55
600.00, 27.81
600.00, 27.55
600.00, 27.81
600.00, 27.81
600.00, 27.31
600.00, 27.55
600.00, 27.55
700.00, 24.05
700.00, 24.05
700.00, 23.52
700.00, 24.05
700.00, 23.29
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 23.52
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 23.52
700.00, 24.05
700.00, 23.52
700.00, 23.52
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 23.52
700.00, 23.52
700.00, 24.05
