Beginning Pixel Size Calibration Test...
-----------------------------------------
aruco_approx_dist.py, test_case=4
Marker Size: 45mm
-----------------------------------------
True Dist [mm], Pixel Size [px]
-----------------------------------------
400.00, 42.88
400.00, 42.65
400.00, 42.38
400.00, 42.42
400.00, 42.65
400.00, 42.42
400.00, 42.42
400.00, 42.19
400.00, 42.47
400.00, 42.52
400.00, 42.24
400.00, 42.58
400.00, 42.58
400.00, 42.36
400.00, 42.36
400.00, 42.43
400.00, 42.71
400.00, 42.43
400.00, 42.22
400.00, 42.22
400.00, 42.29
400.00, 42.09
400.00, 42.29
400.00, 42.38
400.00, 42.47
400.00, 42.47
400.00, 42.47
400.00, 42.47
400.00, 42.26
400.00, 42.76
400.00, 42.36
400.00, 42.37
400.00, 42.66
400.00, 42.95
400.00, 42.46
400.00, 42.66
400.00, 42.46
400.00, 42.58
400.00, 42.58
400.00, 42.46
400.00, 42.09
400.00, 42.28
400.00, 42.39
400.00, 42.20
400.00, 42.33
400.00, 42.15
400.00, 42.45
400.00, 42.45
400.00, 42.15
400.00, 42.45
400.00, 42.76
400.00, 42.58
400.00, 42.76
400.00, 42.45
400.00, 42.72
500.00, 33.05
500.00, 32.72
500.00, 32.72
500.00, 32.72
500.00, 32.72
500.00, 33.05
500.00, 33.04
500.00, 32.72
500.00, 32.72
500.00, 32.72
500.00, 32.76
500.00, 32.72
500.00, 32.72
500.00, 32.68
500.00, 32.76
500.00, 32.72
500.00, 32.68
500.00, 32.68
500.00, 32.72
500.00, 32.76
500.00, 32.76
500.00, 32.72
500.00, 32.76
500.00, 32.72
500.00, 32.72
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.72
500.00, 32.76
500.00, 32.72
500.00, 32.76
500.00, 32.76
500.00, 32.72
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.72
500.00, 32.76
500.00, 32.76
500.00, 32.72
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.72
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.72
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.72
500.00, 32.76
500.00, 32.76
500.00, 32.72
500.00, 32.76
500.00, 32.76
500.00, 32.72
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.72
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.72
500.00, 32.72
500.00, 32.72
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.72
500.00, 32.76
500.00, 32.76
500.00, 32.76
500.00, 32.76
600.00, 27.34
600.00, 27.34
600.00, 28.02
600.00, 28.02
600.00, 27.99
600.00, 28.02
600.00, 28.02
600.00, 27.99
600.00, 28.02
600.00, 27.34
600.00, 27.34
600.00, 27.99
600.00, 27.34
600.00, 27.34
600.00, 27.34
600.00, 27.67
600.00, 28.02
600.00, 27.69
600.00, 27.34
600.00, 27.34
600.00, 27.67
600.00, 27.69
600.00, 27.67
600.00, 27.67
600.00, 27.34
600.00, 27.67
600.00, 27.67
600.00, 27.34
600.00, 27.34
600.00, 28.02
600.00, 27.67
600.00, 27.67
600.00, 27.99
600.00, 27.34
600.00, 27.67
600.00, 27.67
600.00, 27.67
600.00, 27.67
600.00, 27.67
600.00, 27.34
600.00, 28.02
600.00, 27.67
600.00, 27.34
600.00, 27.67
600.00, 27.34
600.00, 27.34
600.00, 27.34
600.00, 27.67
600.00, 27.67
600.00, 27.67
600.00, 27.34
600.00, 28.02
600.00, 27.67
600.00, 27.34
600.00, 27.67
600.00, 27.34
600.00, 27.67
600.00, 27.67
600.00, 27.67
600.00, 27.67
600.00, 27.34
600.00, 27.67
600.00, 27.34
600.00, 27.67
600.00, 27.67
600.00, 27.34
600.00, 27.67
600.00, 27.34
600.00, 27.99
600.00, 27.67
600.00, 28.02
600.00, 27.99
600.00, 27.99
600.00, 27.34
600.00, 27.67
600.00, 27.67
600.00, 27.67
600.00, 27.34
600.00, 27.67
600.00, 27.34
600.00, 27.34
600.00, 27.67
600.00, 27.67
600.00, 27.67
600.00, 27.34
600.00, 27.34
600.00, 27.34
600.00, 27.34
600.00, 27.67
600.00, 27.34
600.00, 27.34
600.00, 27.67
600.00, 27.67
600.00, 27.67
600.00, 27.67
600.00, 27.67
600.00, 27.67
600.00, 27.67
600.00, 27.34
600.00, 27.67
700.00, 24.14
700.00, 24.14
700.00, 23.40
700.00, 23.40
700.00, 24.14
700.00, 23.40
700.00, 24.14
700.00, 23.73
700.00, 24.14
700.00, 23.40
700.00, 23.40
700.00, 24.14
700.00, 23.76
