D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\aruco_approx_dist.py
ID | Loc [px] | Dist [mm] | ~Dist [mm] | Error_d [%] | Heading [px]
-------------------------------------------------------------------
1   (338,236)     804.00      782.55           2.67         18
1   (391,220)     812.00      836.75           3.05         71
1   (387,268)     783.00      756.48           3.39         67
1   (288,207)     819.00      810.23           1.07        -32

1   (338,236)     802.00      732.55           8.66         18
1   (391,220)     812.00      787.89           2.97         71
1   (288,207)     820.00      807.09           1.57        -32
1   (387,268)     782.00      739.65           5.42         67

1   (338,236)     804.00      732.55           8.89         18
1   (391,220)     812.00      787.89           2.97         71
1   (288,207)     820.00      807.09           1.57        -32
1   (387,268)     783.00      739.65           5.54         67

1   (338,236)     803.00      732.55           8.77         18
1   (391,220)     812.00      787.89           2.97         71
1   (387,268)     785.00      739.65           5.78         67
1   (288,207)     820.00      807.09           1.57        -32

1   (363,212)     605.00      610.70           0.94         43
1   (295,174)     614.00      611.50           0.41        -25
1   (426,194)     641.00      682.42           6.46        106
1   (428,254)     601.00      601.96           0.16        108

1   (366,205)     531.00      521.67           1.76         46
1   (442,251)     532.00      549.86           3.36        122
1   (435,184)     567.00      591.19           4.27        115
1   (287,163)     530.00      519.76           1.93        -33

1   (283,166)     506.00      488.14           3.53        -37
1   (366,211)     511.00      497.31           2.68         46
1   (437,187)     550.00      586.33           6.61        117
1   (443,258)     518.00      528.32           1.99        123

1   (368,219)     483.00      463.03           4.14         48
1   (441,192)     520.00      554.01           6.54        121
1   (278,172)     475.00      459.76           3.21        -42
1   (448,268)     493.00      509.85           3.42        128

1   (264,173)     446.00      425.27           4.65        -56
1   (360,220)     456.00      431.60           5.35         40
1   (438,189)     492.00      527.67           7.25        118
1   (446,270)     463.00      471.83           1.91        126

1   (366,200)     462.00      457.29           1.02         46
1   (442,174)     501.00      549.61           9.70        122
1   (272,150)     453.00      447.85           1.14        -48
1   (450,252)     473.00      491.57           3.93        130

1   (381,156)     483.00      473.28           2.01         61
1   (457,135)     515.00      576.27          11.90        137
1   (454,212)     501.00      535.00           6.79        134
1   (295,101)     466.00      444.93           4.52        -25

1   (390,121)     501.00      480.95           4.00         70
1   (458,179)     518.00      552.53           6.67        138
1   (466,104)     529.00      582.54          10.12        146

1   (392,103)     508.00      485.92           4.35         72
1   (459,162)     525.00      553.28           5.39        139

1   (391,103)     525.00      506.04           3.61         71
1   (455,161)     538.00      560.17           4.12        135

1   (381,130)     554.00      531.51           4.06         61
1   (451,113)     582.00      629.00           8.08        131
1   (445,180)     567.00      590.88           4.21        125

1   (372,157)     573.00      547.87           4.38         52
1   (441,136)     596.00      628.26           5.41        121
1   (299,111)     564.00      517.88           8.18        -21
1   (437,203)     583.00      583.50           0.09        117

1   (377,204)     578.00      572.40           0.97         57
1   (296,189)     552.00      521.54           5.52        -24
1   (449,220)     609.00      641.84           5.39        129
1   (423,161)     624.00      672.28           7.74        103

1   (370,229)     584.00      590.68           1.14         50
1   (291,245)     543.00      520.59           4.13        -29
1   (436,221)     625.00      671.63           7.46        116
1   (393,174)     640.00      680.04           6.26         73

1   (288,251)     572.00      546.81           4.40        -32
1   (363,232)     610.00      603.95           0.99         43
1   (427,221)     656.00      692.49           5.56        107
1   (383,178)     666.00      716.51           7.58         63

1   (296,193)     716.00      667.63           6.75        -24
1   (355,224)     723.00      684.90           5.27         35
1   (408,204)     752.00      753.50           0.20         88
1   (409,257)     729.00      716.37           1.73         89

1   (354,222)    1400.00     1428.63           2.04         34


1   (360,231)    1212.00     1148.02           5.28         40
1   (392,252)    1191.00     1195.47           0.38         72

1   (399,231)    1284.00     1355.89           5.60         79
1   (334,221)    1287.00     1336.77           3.87         14

1   (437,260)    1466.00     1471.07           0.35        117
1   (469,251)    1432.00     1462.45           2.13        149

1   (434,262)    1487.00     1534.99           3.23        114
