RESTART: D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\aruco_approx_dist.py
24/9/18
marker size 38.5mm
ID | Loc [px] | Dist [mm] | ~Dist [mm] | Error_d [%] | Heading [px]
-------------------------------------------------------------------
1   (405,203)     665.00      675.43           1.57         85
1   (406,198)     661.00      664.51           0.53         86
1   (408,188)     660.00      665.47           0.83         88
1   (280,130)     680.00      696.51           2.43        -40
1   (408,183)     660.00      654.19           0.88         88
1   (409,179)     658.00      665.93           1.21         89
1   (282,121)     680.00      671.93           1.19        -38
1   (411,170)     660.00      655.83           0.63         91
1   (283,113)     682.00      696.04           2.06        -37
1   (411,167)     661.00      644.54           2.49         91
1   (344,138)     670.00      659.08           1.63         24
1   (284,109)     682.00      670.38           1.70        -36
1   (345,134)     670.00      619.48           7.54         25
1   (412,163)     658.00      656.32           0.26         92
1   (284,163)     671.00      644.45           3.96        -36
1   (284,105)     682.00      615.07           9.81        -36
1   (412,160)     661.00      634.63           3.99         92
1   (345,131)     673.00      651.19           3.24         25
1   (284,160)     674.00      660.73           1.97        -36
1   (284,102)     682.00      659.52           3.30        -36
1   (412,153)     663.00      656.12           1.04         92
1   (346,125)     671.00      634.70           5.41         26
1   (285,154)     675.00      629.12           6.80        -35
1   (286, 96)     685.00      681.65           0.49        -34
1   (346,122)     671.00      619.97           7.60         26
1   (286,150)     676.00      669.01           1.03        -34
1   (413,150)     664.00      656.04           1.20         93
1   (286, 94)     688.00      695.19           1.04        -34
1   (346,116)     673.00      612.85           8.94         26
1   (286,146)     673.00      669.00           0.59        -34
1   (413,144)     666.00      667.92           0.29         93
1   (414,141)     666.00      656.93           1.36         94
1   (347,113)     674.00      612.66           9.10         27
1   (414,138)     666.00      667.82           0.27         94
1   (347,111)     673.00      619.76           7.91         27
1   (287,140)     679.00      635.84           6.36        -33
1   (288,138)     680.00      651.91           4.13        -32
1   (347,105)     675.00      635.23           5.89         27
1   (413,132)     669.00      667.52           0.22         93
1   (288,135)     683.00      686.21           0.47        -32
1   (414,129)     666.00      656.54           1.42         94
1   (347,102)     676.00      627.76           7.14         27
1   (288,133)     685.00      636.04           7.15        -32
1   (347,100)     676.00      627.40           7.19         27
1   (288,130)     686.00      686.21           0.03        -32
1   (415,126)     668.00      666.68           0.20         95
1   (414,124)     668.00      666.17           0.27         94
1   (414,121)     669.00      635.42           5.02         94
1   (347, 95)     677.00      620.11           8.40         27
1   (289,123)     688.00      635.85           7.58        -31
1   (414,119)     669.00      667.21           0.27         94
1   (348, 93)     676.00      643.01           4.88         28
1   (289,121)     692.00      668.44           3.40        -31
1   (415,117)     668.00      657.10           1.63         95
1   (414,113)     670.00      645.25           3.69         94
1   (413,111)     670.00      644.75           3.77         93
1   (289,114)     691.00      643.90           6.82        -31
1   (414,108)     668.00      645.25           3.41         94
1   (414,106)     668.00      645.82           3.32         94
1   (414,103)     668.00      645.25           3.41         94
1   (289,110)     692.00      643.11           7.07        -31
1   (414,101)     670.00      644.68           3.78         94
1   (289,104)     692.00      676.46           2.25        -31
