= RESTART: D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\aruco_approx_dist.py
ID | Loc [px] | Dist [mm] | ~Dist [mm] | Error_d [%] | Heading [px]
-------------------------------------------------------------------

1   (298,233)     326.00      301.91           7.39        -22
1   (422,187)     341.00      340.92           0.02        102
1   (305,129)     364.00      357.32           1.84        -15

1   (257,234)     222.00      202.43           8.82        -63
1   (438,150)     226.00      216.61           4.16        118

1   (254,256)     202.00      180.61          10.59        -66
1   (450,163)     207.00      200.18           3.29        130

1   (448,172)     204.00      196.24           3.80        128
1   (248,271)     198.00      180.02           9.08        -72

1   (448,178)     198.00      191.40           3.33        128

1   (441,184)     196.00      185.05           5.59        121

1   (434,188)     197.00      184.48           6.36        114

1   (415,200)     196.00      180.36           7.98         95




1   (218,199)     160.00      145.51           9.06       -102

1   (235,199)     178.00      160.39           9.89        -85

1   (242,207)     190.00      171.43           9.78        -78
1   (445,118)     209.00      210.33           0.64        125

1   (244,206)     197.00      179.26           9.00        -76
1   (439,119)     215.00      212.39           1.21        119

1   (248,205)     200.00      181.90           9.05        -72
1   (439,119)     219.00      216.52           1.13        119

1   (251,204)     204.00      184.10           9.75        -69
1   (439,120)     223.00      219.95           1.37        119

1   (254,206)     207.00      186.39           9.96        -66
1   (439,122)     226.00      223.34           1.18        119

1   (257,204)     216.00      196.43           9.06        -63
1   (434,125)     236.00      231.00           2.12        114

1   (258,198)     223.00      202.37           9.25        -62
1   (431,121)     244.00      237.43           2.69        111

1   (260,199)     229.00      206.90           9.65        -60
1   (428,124)     250.00      244.13           2.35        108

1   (261,200)     234.00      212.64           9.13        -59
1   (425,126)     254.00      246.89           2.80        105

1   (261,202)     239.00      218.82           8.44        -59
1   (422,129)     259.00      254.30           1.81        102

1   (261,202)     244.00      223.46           8.42        -59
1   (419,131)     265.00      256.15           3.34         99

1   (264,201)     250.00      226.98           9.21        -56
1   (418,131)     270.00      260.95           3.35         98

1   (266,202)     256.00      233.78           8.68        -54
1   (416,133)     277.00      267.03           3.60         96

1   (267,204)     263.00      239.03           9.12        -53
1   (414,137)     283.00      273.44           3.38         94

1   (268,207)     268.00      244.46           8.78        -52
1   (412,140)     288.00      275.72           4.26         92

1   (268,206)     273.00      250.23           8.34        -52
1   (410,140)     294.00      281.12           4.38         90

1   (270,204)     281.00      254.88           9.30        -50
1   (407,140)     301.00      285.09           5.29         87

1   (271,206)     288.00      261.15           9.32        -49
1   (406,143)     307.00      290.95           5.23         86

1   (273,207)     296.00      270.36           8.66        -47
1   (403,146)     316.00      296.90           6.04         83

1   (275,204)     303.00      278.76           8.00        -45
1   (403,146)     323.00      310.67           3.82         83

1   (277,203)     312.00      281.30           9.84        -43
1   (402,147)     332.00      316.08           4.80         82

1   (280,203)     319.00      293.88           7.88        -40
1   (402,149)     339.00      321.85           5.06         82

1   (282,202)     329.00      300.43           8.68        -38
1   (401,150)     348.00      335.85           3.49         81

1   (283,203)     338.00      309.24           8.51        -37
1   (399,152)     358.00      346.19           3.30         79

1   (284,206)     348.00      320.52           7.90        -36
1   (397,156)     368.00      350.22           4.83         77

1   (284,207)     360.00      328.53           8.74        -36
1   (393,160)     377.00      363.87           3.48         73
1   (283,106)     382.00      360.75           5.56        -37

1   (284,207)     371.00      339.22           8.57        -36
1   (391,161)     388.00      365.91           5.69         71
1   (284,108)     393.00      368.20           6.31        -36

1   (285,207)     382.00      343.57          10.06        -35
1   (389,162)     399.00      378.62           5.11         69
1   (285,110)     403.00      383.00           4.96        -35

1   (285,211)     391.00      355.22           9.15        -35
1   (388,167)     406.00      386.49           4.81         68
1   (286,116)     413.00      387.24           6.24        -34

1   (288,215)     402.00      362.33           9.87        -32
1   (387,171)     417.00      391.88           6.02         67
1   (288,121)     422.00      395.72           6.23        -32

1   (288,218)     416.00      378.08           9.12        -32
1   (385,175)     430.00      400.73           6.81         65
1   (289,127)     435.00      409.14           5.95        -31

1   (288,217)     429.00      392.07           8.61        -32
1   (382,177)     442.00      422.10           4.50         62
1   (290,129)     447.00      421.87           5.62        -30
1   (483,225)     440.00      453.04           2.96        163

1   (287,219)     445.00      407.32           8.47        -33
1   (378,181)     458.00      435.14           4.99         58
1   (475,228)     454.00      469.91           3.50        155
1   (289,134)     465.00      427.75           8.01        -31

1   (286,223)     459.00      420.54           8.38        -34
1   (470,231)     468.00      467.29           0.15        150
1   (375,186)     470.00      434.62           7.53         55
1   (288,141)     478.00      443.12           7.30        -32

1   (286,224)     471.00      431.13           8.47        -34
1   (374,188)     480.00      448.85           6.49         54
1   (466,232)     478.00      476.40           0.33        146
1   (289,144)     490.00      465.26           5.05        -31

1   (288,223)     484.00      453.32           6.34        -32
1   (373,188)     494.00      464.75           5.92         53
1   (463,231)     489.00      492.22           0.66        143
1   (290,145)     504.00      477.45           5.27        -30

1   (288,221)     495.00      457.06           7.66        -32
1   (372,188)     502.00      473.34           5.71         52
1   (292,146)     515.00      495.08           3.87        -28
1   (460,230)     497.00      497.10           0.02        140

1   (289,221)     506.00      460.75           8.94        -31
1   (457,230)     505.00      495.38           1.90        137
1   (371,188)     514.00      485.68           5.51         51
1   (293,146)     527.00      502.15           4.72        -27

1   (290,221)     515.00      476.83           7.41        -30
1   (370,190)     524.00      485.33           7.38         50
1   (455,231)     513.00      520.37           1.44        135
1   (294,148)     539.00      513.47           4.74        -26

1   (291,223)     526.00      481.33           8.49        -29
1   (370,192)     533.00      494.61           7.20         50
1   (295,151)     545.00      516.90           5.16        -25
1   (453,233)     525.00      512.30           2.42        133

1   (291,225)     539.00      495.26           8.11        -29
1   (368,194)     545.00      518.25           4.91         48
1   (294,155)     559.00      524.12           6.24        -26
1   (449,234)     537.00      517.33           3.66        129

1   (290,228)     549.00      515.71           6.06        -30
1   (366,197)     555.00      522.48           5.86         46
1   (445,236)     546.00      535.75           1.88        125
1   (294,159)     569.00      532.32           6.45        -26

1   (291,230)     557.00      514.96           7.55        -29
1   (443,238)     554.00      550.50           0.63        123
1   (365,200)     564.00      528.04           6.38         45
1   (295,161)     578.00      546.78           5.40        -25

1   (291,231)     565.00      525.32           7.02        -29
1   (443,240)     564.00      549.32           2.60        123
1   (365,201)     570.00      538.84           5.47         45
1   (295,163)     587.00      554.73           5.50        -25

1   (292,232)     571.00      529.98           7.18        -28
1   (441,240)     569.00      541.52           4.83        121
1   (364,203)     577.00      538.65           6.65         44
1   (295,165)     590.00      554.73           5.98        -25

1   (437,241)     578.00      570.20           1.35        117
1   (291,232)     583.00      536.77           7.93        -29
1   (362,204)     587.00      549.52           6.38         42
1   (295,167)     604.00      581.08           3.79        -25

1   (291,233)     594.00      548.04           7.74        -29
1   (361,205)     597.00      561.85           5.89         41
1   (435,241)     589.00      569.89           3.24        115
1   (295,169)     611.00      588.89           3.62        -25

1   (433,241)     597.00      576.42           3.45        113
1   (292,232)     607.00      547.91           9.73        -28
1   (361,205)     608.00      574.15           5.57         41
1   (296,169)     626.00      581.52           7.11        -24

1   (432,242)     605.00      591.71           2.20        112
1   (293,232)     616.00      570.69           7.36        -27
1   (361,205)     620.00      587.01           5.32         41
1   (297,169)     633.00      590.07           6.78        -23

1   (360,208)     630.00      592.98           5.88         40
1   (294,234)     630.00      590.60           6.25        -26
1   (298,173)     647.00      619.42           4.26        -22
1   (430,244)     620.00      598.93           3.40        110

1   (361,209)     646.00      599.51           7.20         41
1   (296,235)     645.00      603.98           6.36        -24
1   (429,245)     630.00      601.31           4.55        109
1   (300,174)     660.00      630.83           4.42        -20

1   (362,211)     655.00      613.73           6.30         42
1   (298,236)     654.00      611.32           6.53        -22
1   (302,177)     669.00      640.33           4.29        -18
1   (428,246)     646.00      618.78           4.21        108

1   (362,212)     670.00      621.50           7.24         42
1   (299,236)     670.00      624.44           6.80        -21
1   (427,246)     658.00      639.14           2.87        107
1   (304,178)     688.00      662.83           3.66        -16

1   (300,234)     688.00      648.13           5.79        -20
1   (362,211)     686.00      633.58           7.64         42
1   (304,177)     701.00      664.53           5.20        -16
1   (426,245)     671.00      648.75           3.32        106

1   (424,244)     689.00      638.03           7.40        104
