----------------------------------------------------------------------------------
N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Angle [deg], Alpha [px/bit]
      5,      50.0,     20.60,    820.33,    -2.94420,    -168.690,          2.943
      5,      50.0,     20.13,    845.17,    -2.55359,    -146.310,          2.875
      5,      50.0,     19.72,    855.37,    -2.60987,    -149.535,          2.818
      5,      50.0,     20.12,    841.48,    -2.67795,    -153.435,          2.875
      5,      50.0,     20.40,    835.77,    -2.78860,    -159.775,          2.915
      5,      50.0,     20.14,    838.36,    -2.88427,    -165.257,          2.878
      5,      50.0,     20.62,    831.91,    -2.74307,    -157.166,          2.945
      5,      50.0,     26.40,    648.38,    -1.46014,     -83.660,          3.771
      5,      50.0,     36.97,    463.66,    -2.59174,    -148.496,          5.281
      5,      50.0,     20.70,    816.45,    -2.89661,    -165.964,          2.957
      5,      50.0,     20.27,    838.28,    -2.45928,    -140.906,          2.896
      5,      50.0,     19.42,    868.80,    -2.53931,    -145.492,          2.774
      5,      50.0,     20.90,    815.60,    -2.74307,    -157.166,          2.986
      5,      50.0,     20.70,    828.64,    -2.69922,    -154.654,          2.957
      5,      50.0,     20.40,    827.67,    -2.83571,    -162.475,          2.915
      5,      50.0,     20.16,    840.34,    -2.63449,    -150.946,          2.880
      5,      50.0,     26.46,    646.42,    -1.49402,     -85.601,          3.781
      5,      50.0,     36.82,    465.74,    -2.55359,    -146.310,          5.261
      5,      50.0,     20.17,    840.05,    -2.59304,    -148.571,          2.881
      5,      50.0,     20.36,    834.45,    -2.45928,    -140.906,          2.908
      5,      50.0,     20.40,    828.47,    -2.94420,    -168.690,          2.914
      5,      50.0,     20.40,    826.71,    -2.49809,    -143.130,          2.915
      5,      50.0,     20.76,    821.24,    -2.74307,    -157.166,          2.965
      5,      50.0,     20.24,    834.14,    -2.83571,    -162.475,          2.892
      5,      50.0,     20.12,    852.66,    -2.67795,    -153.435,          2.875
      5,      50.0,     26.10,    655.04,    -1.41214,     -80.910,          3.729
      5,      50.0,     36.34,    471.94,    -2.53784,    -145.408,          5.191
      5,      50.0,     20.58,    821.11,    -2.89661,    -165.964,          2.939
      5,      50.0,     20.23,    838.97,    -2.45928,    -140.906,          2.890
      5,      50.0,     20.36,    828.66,    -2.49809,    -143.130,          2.908
      5,      50.0,     20.24,    834.14,    -2.83571,    -162.475,          2.892
      5,      50.0,     20.62,    826.65,    -2.76109,    -158.199,          2.946
      5,      50.0,     20.37,    842.58,    -2.72337,    -156.038,          2.909
      5,      50.0,     20.67,    819.88,    -2.59304,    -148.571,          2.953
      5,      50.0,     26.10,    655.08,    -1.41815,     -81.254,          3.729
      5,      50.0,     36.41,    471.02,    -2.56159,    -146.768,          5.202
      5,      50.0,     20.75,    814.14,    -2.85014,    -163.301,          2.964
      5,      50.0,     19.60,    865.56,    -2.46685,    -141.340,          2.801
      5,      50.0,     20.25,    837.02,    -2.56729,    -147.095,          2.893
      5,      50.0,     20.13,    852.81,    -2.63449,    -150.946,          2.876
      5,      50.0,     20.41,    827.30,    -2.74307,    -157.166,          2.916
      5,      50.0,     20.62,    826.49,    -2.76109,    -158.199,          2.946
      5,      50.0,     20.00,    843.41,    -2.49809,    -143.130,          2.857
      5,      50.0,     25.70,    665.10,    -1.37340,     -78.690,          3.671
      5,      50.0,     36.62,    468.28,    -2.51485,    -144.090,          5.232
      5,      50.0,     20.27,    833.33,    -2.83571,    -162.475,          2.896
      5,      50.0,     20.59,    824.07,    -2.42276,    -138.814,          2.941
      5,      50.0,     20.00,    843.40,    -2.49809,    -143.130,          2.857
      5,      50.0,     20.25,    837.26,    -2.56729,    -147.095,          2.893
      5,      50.0,     20.09,    840.76,    -2.80492,    -160.710,          2.870
      5,      50.0,     20.11,    848.09,    -2.78860,    -159.775,          2.872
      5,      50.0,     20.58,    834.07,    -2.69922,    -154.654,          2.941
      5,      50.0,     25.99,    657.38,    -1.37340,     -78.690,          3.712
      5,      50.0,     36.91,    464.42,    -2.51485,    -144.090,          5.273
      5,      50.0,     20.32,    831.23,    -2.88427,    -165.257,          2.903
      5,      50.0,     20.08,    840.08,    -2.55359,    -146.310,          2.868
      5,      50.0,     20.27,    836.88,    -2.42750,    -139.086,          2.896
      5,      50.0,     20.34,    833.84,    -2.63449,    -150.946,          2.905
      5,      50.0,     21.09,    808.95,    -2.69922,    -154.654,          3.013
      5,      50.0,     20.24,    848.61,    -2.67795,    -153.435,          2.892
      5,      50.0,     20.56,    821.57,    -2.80492,    -160.710,          2.937
      5,      50.0,     25.70,    664.79,    -1.37340,     -78.690,          3.671
      5,      50.0,     36.76,    466.11,    -2.53784,    -145.408,          5.251
      5,      50.0,     20.27,    833.34,    -2.88427,    -165.257,          2.895
      5,      50.0,     19.88,    853.26,    -2.42750,    -139.086,          2.840
      5,      50.0,     20.07,    840.59,    -2.52693,    -144.783,          2.867
      5,      50.0,     20.90,    816.30,    -2.80492,    -160.710,          2.986
      5,      50.0,     20.24,    848.61,    -2.67795,    -153.435,          2.892
      5,      50.0,     20.88,    809.11,    -2.85014,    -163.301,          2.982
      5,      50.0,     19.99,    848.37,    -2.60987,    -149.535,          2.856
      5,      50.0,     25.82,    661.25,    -1.41214,     -80.910,          3.689
      5,      50.0,     37.10,    461.58,    -2.53087,    -145.008,          5.300
      5,      50.0,     20.62,    819.13,    -2.89661,    -165.964,          2.945
      5,      50.0,     20.23,    838.44,    -2.42750,    -139.086,          2.890
      5,      50.0,     20.26,    842.37,    -2.83571,    -162.475,          2.894
      5,      50.0,     20.58,    834.99,    -2.63449,    -150.946,          2.941
      5,      50.0,     20.88,    809.24,    -2.80492,    -160.710,          2.982
      5,      50.0,     20.50,    827.23,    -2.59304,    -148.571,          2.929
      5,      50.0,     20.36,    828.64,    -2.45928,    -140.906,          2.908
      5,      50.0,     25.99,    656.79,    -1.37340,     -78.690,          3.712
      5,      50.0,     36.40,    469.91,    -2.53784,    -145.408,          5.201
      5,      50.0,     20.62,    819.02,    -2.89661,    -165.964,          2.945
      5,      50.0,     20.41,    830.96,    -2.63449,    -150.946,          2.916
      5,      50.0,     20.27,    836.62,    -2.45928,    -140.906,          2.896
      5,      50.0,     19.71,    855.70,    -2.50884,    -143.746,          2.816
      5,      50.0,     20.11,    849.22,    -2.78860,    -159.775,          2.872
      5,      50.0,     20.56,    821.83,    -2.85014,    -163.301,          2.937
      5,      50.0,     19.91,    863.61,    -2.67795,    -153.435,          2.845
      5,      50.0,     25.61,    666.44,    -1.41214,     -80.910,          3.658
      5,      50.0,     37.21,    460.00,    -2.49260,    -142.815,          5.315
      5,      50.0,     19.96,    845.87,    -2.88427,    -165.257,          2.851
      5,      50.0,     20.18,    839.46,    -2.39066,    -136.975,          2.883
      5,      50.0,     19.99,    849.19,    -2.56729,    -147.095,          2.856
      5,      50.0,     19.58,    878.94,    -2.67795,    -153.435,          2.797
      5,      50.0,     19.83,    861.41,    -2.72337,    -156.038,          2.833
      5,      50.0,     20.09,    841.38,    -2.78860,    -159.775,          2.870
      5,      50.0,     19.97,    844.85,    -2.46685,    -141.340,          2.852
      5,      50.0,     25.79,    660.80,    -1.33525,     -76.504,          3.685
      5,      50.0,     36.92,    463.63,    -2.53784,    -145.408,          5.274
      5,      50.0,     20.58,    820.42,    -2.83571,    -162.475,          2.939
      5,      50.0,     20.97,    814.76,    -2.65711,    -152.242,          2.995
      5,      50.0,     20.43,    827.16,    -2.74307,    -157.166,          2.919
      5,      50.0,     20.21,    838.22,    -2.39066,    -136.975,          2.887
      5,      50.0,     19.91,    852.89,    -2.53931,    -145.492,          2.844
      5,      50.0,     19.13,    899.33,    -2.67795,    -153.435,          2.733
      5,      50.0,     20.62,    818.30,    -2.45928,    -140.906,          2.945
      5,      50.0,     26.09,    653.28,    -1.38081,     -79.115,          3.727
      5,      50.0,     36.69,    466.28,    -2.53784,    -145.408,          5.241
      5,      50.0,     20.02,    843.14,    -2.93410,    -168.111,          2.860
      5,      50.0,     19.96,    856.05,    -2.74307,    -157.166,          2.852
      5,      50.0,     19.80,    869.53,    -2.63449,    -150.946,          2.829
      5,      50.0,     20.56,    822.13,    -2.85014,    -163.301,          2.937
      5,      50.0,     20.01,    848.73,    -2.53931,    -145.492,          2.859
      5,      50.0,     20.00,    843.45,    -2.49809,    -143.130,          2.857
      5,      50.0,     20.21,    838.25,    -2.45928,    -140.906,          2.887
      5,      50.0,     25.99,    655.93,    -1.38081,     -79.115,          3.712
      5,      50.0,     36.56,    467.89,    -2.53784,    -145.408,          5.223
      5,      50.0,     19.96,    845.77,    -2.83571,    -162.475,          2.851
      5,      50.0,     19.82,    854.50,    -2.35619,    -135.000,          2.831
      5,      50.0,     20.62,    818.30,    -2.45928,    -140.906,          2.945
      5,      50.0,     20.95,    815.54,    -2.76109,    -158.199,          2.992
      5,      50.0,     19.80,    869.74,    -2.65469,    -152.103,          2.828
      5,      50.0,     19.95,    847.32,    -2.74307,    -157.166,          2.849
      5,      50.0,     19.92,    852.35,    -2.58299,    -147.995,          2.846
      5,      50.0,     25.61,    665.49,    -1.41214,     -80.910,          3.659
      5,      50.0,     36.80,    464.85,    -2.49260,    -142.815,          5.257
      5,      50.0,     19.82,    868.75,    -2.60987,    -149.535,          2.831
      5,      50.0,     19.12,    885.48,    -2.42750,    -139.086,          2.732
      5,      50.0,     20.11,    840.71,    -2.78860,    -159.775,          2.872
      5,      50.0,     20.62,    828.48,    -2.76109,    -158.199,          2.946
      5,      50.0,     19.25,    876.17,    -2.50884,    -143.746,          2.751
      5,      50.0,     20.09,    840.06,    -2.85014,    -163.301,          2.871
      5,      50.0,     19.83,    856.47,    -2.53931,    -145.492,          2.833
      5,      50.0,     25.60,    665.47,    -1.33525,     -76.504,          3.658
      5,      50.0,     36.37,    470.86,    -2.49809,    -143.130,          5.195
      5,      50.0,     20.09,    840.24,    -2.81984,    -161.565,          2.870
      5,      50.0,     19.48,    868.80,    -2.31917,    -132.879,          2.782
      5,      50.0,     19.97,    846.51,    -2.74307,    -157.166,          2.853
      5,      50.0,     20.91,    816.93,    -2.65711,    -152.242,          2.987
      5,      50.0,     20.40,    832.76,    -2.52693,    -144.783,          2.915
      5,      50.0,     20.42,    843.57,    -2.56729,    -147.095,          2.917
      5,      50.0,     19.85,    849.97,    -2.42750,    -139.086,          2.836
      5,      50.0,     25.35,    671.76,    -1.33525,     -76.504,          3.622
      5,      50.0,     36.56,    468.66,    -2.45392,    -140.599,          5.222
      5,      50.0,     19.78,    853.28,    -2.78860,    -159.775,          2.826
      5,      50.0,     19.15,    883.21,    -2.24554,    -128.660,          2.736
      5,      50.0,     19.46,    866.90,    -2.39321,    -137.121,          2.781
      5,      50.0,     20.71,    824.90,    -2.59304,    -148.571,          2.958
      5,      50.0,     20.41,    844.09,    -2.59304,    -148.571,          2.916
      5,      50.0,     19.77,    859.78,    -2.53931,    -145.492,          2.824
      5,      50.0,     20.37,    830.02,    -2.72337,    -156.038,          2.909
      5,      50.0,     25.18,    676.22,    -1.28700,     -73.740,          3.596
      5,      50.0,     36.46,    470.14,    -2.39617,    -137.291,          5.209
      5,      50.0,     18.86,    896.48,    -2.21430,    -126.870,          2.695
      5,      50.0,     20.60,    828.94,    -2.63449,    -150.946,          2.943
      5,      50.0,     20.14,    839.43,    -2.65469,    -152.103,          2.877
      5,      50.0,     20.23,    840.45,    -2.45928,    -140.906,          2.890
      5,      50.0,     19.97,    845.16,    -2.77070,    -158.750,          2.853
      5,      50.0,     20.47,    841.64,    -2.48875,    -142.595,          2.924
      5,      50.0,     25.30,    672.93,    -1.24905,     -71.565,          3.614
      5,      50.0,     36.46,    470.58,    -2.29505,    -131.497,          5.209
      5,      50.0,     19.83,    851.03,    -2.72337,    -156.038,          2.833
      5,      50.0,     20.02,    844.22,    -2.65469,    -152.103,          2.860
      5,      50.0,     20.60,    828.36,    -2.52693,    -144.783,          2.943
      5,      50.0,     19.53,    864.02,    -2.24554,    -128.660,          2.791
      5,      50.0,     19.86,    856.52,    -2.45928,    -140.906,          2.837
      5,      50.0,     19.77,    871.88,    -2.49809,    -143.130,          2.824
      5,      50.0,     19.31,    875.37,    -2.21430,    -126.870,          2.758
      5,      50.0,     25.47,    668.00,    -1.21203,     -69.444,          3.638
      5,      50.0,     36.46,    470.58,    -2.29505,    -131.497,          5.209
      5,      50.0,     19.80,    852.48,    -2.72337,    -156.038,          2.828
      5,      50.0,     19.72,    874.09,    -2.53931,    -145.492,          2.817
      5,      50.0,     19.15,    888.60,    -2.43297,    -139.399,          2.736
      5,      50.0,     19.71,    856.92,    -2.20355,    -126.254,          2.816
      5,      50.0,     20.89,    816.76,    -2.56729,    -147.095,          2.984
      5,      50.0,     19.83,    852.24,    -2.65469,    -152.103,          2.833
      5,      50.0,     19.25,    876.78,    -2.24554,    -128.660,          2.751
      5,      50.0,     25.08,    678.01,    -1.16067,     -66.501,          3.583
      5,      50.0,     36.18,    474.47,    -2.27636,    -130.426,          5.169
      5,      50.0,     20.53,    830.65,    -2.52693,    -144.783,          2.933
      5,      50.0,     20.02,    842.96,    -2.65469,    -152.103,          2.860
      5,      50.0,     19.99,    845.49,    -2.58299,    -147.995,          2.856
      5,      50.0,     20.27,    850.33,    -2.42276,    -138.814,          2.896
      5,      50.0,     19.56,    863.28,    -2.10252,    -120.466,          2.795
      5,      50.0,     19.67,    858.34,    -2.25311,    -129.094,          2.810
      5,      50.0,     20.17,    843.97,    -2.35619,    -135.000,          2.882
      5,      50.0,     25.08,    677.76,    -1.16067,     -66.501,          3.583
      5,      50.0,     35.70,    481.44,    -2.21430,    -126.870,          5.100
      5,      50.0,     19.83,    850.96,    -2.65469,    -152.103,          2.833
      5,      50.0,     20.48,    832.34,    -2.53931,    -145.492,          2.925
      5,      50.0,     19.22,    878.54,    -2.17308,    -124.509,          2.746
