----------------------------------------------------------------------------------
N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Angle [deg], Alpha [px/bit]
      5,      50.0,     26.28,    645.59,    -0.62025,     -35.538,          3.755
      5,      50.0,     15.02,   1127.01,    -0.55165,     -31.608,          2.145
      5,      50.0,     15.93,   1061.37,    -0.78540,     -45.000,          2.276
      5,      50.0,     14.72,   1149.59,    -0.92730,     -53.130,          2.102
      5,      50.0,     15.36,   1098.39,    -0.64350,     -36.870,          2.194
      5,      50.0,     15.12,   1115.76,    -1.01914,     -58.393,          2.161
      5,      50.0,     15.54,   1085.92,    -0.57134,     -32.735,          2.220
      5,      50.0,     19.14,    881.48,     0.48690,      27.897,          2.734
      5,      50.0,     25.22,    672.12,    -0.53371,     -30.579,          3.602
      5,      50.0,     14.95,   1132.02,    -0.68573,     -39.289,          2.135
      5,      50.0,     15.08,   1119.04,    -0.65570,     -37.569,          2.154
      5,      50.0,     15.11,   1116.81,    -0.55165,     -31.608,          2.159
      5,      50.0,     14.56,   1162.62,    -0.40489,     -23.199,          2.080
      5,      50.0,     18.95,    890.07,     0.55860,      32.005,          2.708
      5,      50.0,     25.90,    654.09,    -0.56673,     -32.471,          3.701
      5,      50.0,     15.58,   1092.65,    -0.82885,     -47.490,          2.226
      5,      50.0,     15.98,   1059.17,    -0.74195,     -42.510,          2.283
      5,      50.0,     15.47,   1090.41,    -0.60554,     -34.695,          2.210
      5,      50.0,     15.22,   1111.90,    -0.87606,     -50.194,          2.174
      5,      50.0,     14.66,   1155.00,    -0.40489,     -23.199,          2.094
      5,      50.0,     14.31,   1179.34,    -0.98279,     -56.310,          2.044
      5,      50.0,     19.08,    884.46,     0.60229,      34.509,          2.725
      5,      50.0,     15.02,   1123.74,    -0.55165,     -31.608,          2.145
      5,      50.0,     24.72,    684.71,    -0.44611,     -25.560,          3.531
      5,      50.0,     14.87,   1134.47,    -0.46365,     -26.565,          2.125
      5,      50.0,     14.91,   1131.58,    -0.40489,     -23.199,          2.130
      5,      50.0,     15.49,   1094.01,    -0.55165,     -31.608,          2.213
      5,      50.0,     14.87,   1138.56,    -0.73782,     -42.274,          2.124
      5,      50.0,     14.87,   1135.06,    -0.83298,     -47.726,          2.124
      5,      50.0,     14.40,   1175.92,    -0.34302,     -19.654,          2.057
      5,      50.0,     18.86,    894.47,     0.67474,      38.660,          2.695
      5,      50.0,     25.41,    665.70,    -0.44611,     -25.560,          3.631
      5,      50.0,     15.23,   1107.74,    -0.40489,     -23.199,          2.176
      5,      50.0,     14.71,   1159.13,    -0.64350,     -36.870,          2.102
      5,      50.0,     14.93,   1135.60,    -0.55165,     -31.608,          2.133
      5,      50.0,     15.65,   1078.22,    -0.46365,     -26.565,          2.236
      5,      50.0,     14.92,   1134.36,    -0.68573,     -39.289,          2.132
      5,      50.0,     14.89,   1137.09,    -0.32175,     -18.435,          2.127
      5,      50.0,     18.51,    911.51,     0.67474,      38.660,          2.645
      5,      50.0,     24.85,    680.23,    -0.35877,     -20.556,          3.551
      5,      50.0,     14.74,   1148.25,    -0.26060,     -14.931,          2.106
      5,      50.0,     14.52,   1175.67,    -0.64350,     -36.870,          2.074
      5,      50.0,     15.71,   1080.39,    -0.51915,     -29.745,          2.244
      5,      50.0,     14.71,   1146.69,    -0.27830,     -15.945,          2.102
      5,      50.0,     14.36,   1179.16,    -0.58800,     -33.690,          2.052
      5,      50.0,     15.11,   1117.42,    -0.46365,     -26.565,          2.158
      5,      50.0,     15.24,   1106.97,    -0.69474,     -39.806,          2.178
      5,      50.0,     19.46,    867.05,     0.71409,      40.914,          2.781
      5,      50.0,     25.30,    668.05,    -0.32175,     -18.435,          3.614
      5,      50.0,     14.67,   1164.33,    -0.55165,     -31.608,          2.096
      5,      50.0,     14.52,   1166.84,    -0.49394,     -28.301,          2.074
      5,      50.0,     14.99,   1133.43,    -0.40489,     -23.199,          2.142
      5,      50.0,     15.19,   1111.59,    -0.34302,     -19.654,          2.171
      5,      50.0,     14.92,   1130.31,    -0.26060,     -14.931,          2.132
      5,      50.0,     14.52,   1165.23,    -0.13255,      -7.595,          2.075
      5,      50.0,     18.45,    914.60,     0.82538,      47.291,          2.636
      5,      50.0,     24.74,    682.81,    -0.24498,     -14.036,          3.534
      5,      50.0,     14.43,   1172.38,    -0.13255,      -7.595,          2.062
      5,      50.0,     14.66,   1166.51,    -0.43241,     -24.775,          2.094
      5,      50.0,     15.19,   1119.59,    -0.32175,     -18.435,          2.171
      5,      50.0,     14.77,   1146.97,    -0.46365,     -26.565,          2.110
      5,      50.0,     18.21,    926.99,     0.96851,      55.492,          2.601
      5,      50.0,     15.30,   1102.73,    -0.19740,     -11.310,          2.185
      5,      50.0,     14.40,   1173.68,    -0.27830,     -15.945,          2.057
      5,      50.0,     25.20,    669.90,    -0.18999,     -10.886,          3.601
      5,      50.0,     15.34,   1110.31,    -0.34302,     -19.654,          2.191
      5,      50.0,     15.11,   1132.28,    -0.40489,     -23.199,          2.158
      5,      50.0,     14.59,   1159.73,    -0.06657,      -3.814,          2.084
      5,      50.0,     14.54,   1165.53,    -0.43241,     -24.775,          2.077
      5,      50.0,     15.23,   1110.16,    -0.26060,     -14.931,          2.175
      5,      50.0,     14.59,   1156.95,    -0.52807,     -30.256,          2.084
      5,      50.0,     14.93,   1130.11,    -0.13255,      -7.595,          2.132
      5,      50.0,     18.67,    904.13,     0.93805,      53.746,          2.668
      5,      50.0,     24.68,    683.81,    -0.11943,      -6.843,          3.526
      5,      50.0,     14.78,   1144.73,    -0.06657,      -3.814,          2.111
      5,      50.0,     14.93,   1132.94,    -0.13255,      -7.595,          2.132
      5,      50.0,     15.06,   1132.42,    -0.34302,     -19.654,          2.151
      5,      50.0,     14.88,   1150.40,    -0.27830,     -15.945,          2.125
      5,      50.0,     14.59,   1161.96,    -0.40489,     -23.199,          2.084
      5,      50.0,     14.20,   1187.95,    -0.43241,     -24.775,          2.029
      5,      50.0,     18.45,    915.26,     1.01220,      57.995,          2.635
      5,      50.0,     15.08,   1118.33,    -0.13255,      -7.595,          2.155
      5,      50.0,     25.08,    672.75,    -0.07983,      -4.574,          3.583
      5,      50.0,     14.81,   1142.42,    -0.06657,      -3.814,          2.116
      5,      50.0,     14.79,   1140.88,    -0.40489,     -23.199,          2.113
      5,      50.0,     14.78,   1141.61,    -0.06657,      -3.814,          2.111
      5,      50.0,     14.52,   1175.52,    -0.21109,     -12.095,          2.074
      5,      50.0,     15.04,   1137.82,    -0.26060,     -14.931,          2.149
      5,      50.0,     14.56,   1164.42,    -0.34302,     -19.654,          2.079
      5,      50.0,     14.52,   1164.86,     0.06657,       3.814,          2.074
      5,      50.0,     18.46,    914.79,     1.08390,      62.103,          2.637
      5,      50.0,     25.02,    674.25,    -0.03998,      -2.291,          3.574
      5,      50.0,     15.03,   1125.89,    -0.06657,      -3.814,          2.148
      5,      50.0,     14.78,   1144.49,     0.06657,       3.814,          2.111
      5,      50.0,     14.78,   1141.65,     0.07131,       4.086,          2.111
      5,      50.0,     15.30,   1119.42,    -0.19740,     -11.310,          2.185
      5,      50.0,     14.76,   1148.81,    -0.34302,     -19.654,          2.108
      5,      50.0,     14.91,   1131.50,    -0.34302,     -19.654,          2.130
      5,      50.0,     18.59,    908.59,     1.15839,      66.371,          2.656
      5,      50.0,     25.55,    660.23,     0.07677,       4.399,          3.650
      5,      50.0,     14.65,   1168.57,    -0.14190,      -8.130,          2.093
      5,      50.0,     14.56,   1158.74,    -0.27830,     -15.945,          2.080
      5,      50.0,     14.43,   1174.22,    -0.21109,     -12.095,          2.062
      5,      50.0,     14.43,   1171.80,     0.13255,       7.595,          2.062
      5,      50.0,     15.03,   1137.39,    -0.06657,      -3.814,          2.148
      5,      50.0,     15.13,   1114.70,     0.13255,       7.595,          2.162
      5,      50.0,     18.35,    920.51,     1.23150,      70.560,          2.622
      5,      50.0,     25.25,    668.12,     0.15866,       9.090,          3.607
      5,      50.0,     14.33,   1177.17,    -0.21109,     -12.095,          2.047
      5,      50.0,     15.36,   1103.09,     0.13255,       7.595,          2.194
      5,      50.0,     14.93,   1135.16,    -0.19740,     -11.310,          2.132
      5,      50.0,     15.01,   1123.81,     0.13255,       7.595,          2.144
      5,      50.0,     14.76,   1159.14,     0.00000,       0.000,          2.108
      5,      50.0,     14.79,   1157.10,    -0.06657,      -3.814,          2.113
      5,      50.0,     14.93,   1132.52,     0.27830,      15.945,          2.133
      5,      50.0,     18.83,    897.60,     1.24905,      71.565,          2.690
      5,      50.0,     24.34,    693.08,     0.12435,       7.125,          3.477
      5,      50.0,     14.36,   1179.65,    -0.13255,      -7.595,          2.052
      5,      50.0,     14.58,   1161.77,     0.07131,       4.086,          2.083
      5,      50.0,     14.78,   1158.35,     0.06657,       3.814,          2.111
      5,      50.0,     14.74,   1146.97,     0.26060,      14.931,          2.106
      5,      50.0,     14.82,   1137.99,     0.19740,      11.310,          2.118
      5,      50.0,     15.01,   1123.86,    -0.13255,      -7.595,          2.144
      5,      50.0,     18.57,    910.18,     1.28474,      73.611,          2.653
      5,      50.0,     25.53,    661.06,     0.27301,      15.642,          3.647
      5,      50.0,     15.03,   1126.76,    -0.06657,      -3.814,          2.148
      5,      50.0,     15.04,   1121.55,     0.26060,      14.931,          2.149
      5,      50.0,     14.81,   1139.17,    -0.07131,      -4.086,          2.116
      5,      50.0,     15.03,   1137.94,     0.06657,       3.814,          2.148
      5,      50.0,     14.88,   1136.18,     0.32175,      18.435,          2.125
      5,      50.0,     14.58,   1174.14,     0.07131,       4.086,          2.083
      5,      50.0,     14.72,   1151.19,     0.13255,       7.595,          2.103
      5,      50.0,     18.34,    921.68,     1.40565,      80.538,          2.621
      5,      50.0,     25.79,    654.62,     0.27301,      15.642,          3.685
      5,      50.0,     14.52,   1166.50,     0.06657,       3.814,          2.074
      5,      50.0,     14.55,   1159.27,     0.00000,       0.000,          2.079
      5,      50.0,     14.72,   1145.93,     0.40489,      23.199,          2.103
      5,      50.0,     14.45,   1169.67,     0.40489,      23.199,          2.064
      5,      50.0,     15.04,   1127.05,     0.26060,      14.931,          2.149
      5,      50.0,     14.93,   1147.82,     0.14190,       8.130,          2.132
      5,      50.0,     14.59,   1171.71,     0.06657,       3.814,          2.084
      5,      50.0,     19.17,    882.12,     1.41419,      81.027,          2.739
      5,      50.0,     24.56,    687.97,     0.37299,      21.371,          3.509
      5,      50.0,     14.76,   1142.96,     0.06657,       3.814,          2.108
      5,      50.0,     14.64,   1156.63,     0.14190,       8.130,          2.091
      5,      50.0,     14.32,   1195.98,     0.21109,      12.095,          2.045
      5,      50.0,     15.01,   1137.99,     0.13255,       7.595,          2.144
      5,      50.0,     14.77,   1141.99,     0.43241,      24.775,          2.111
      5,      50.0,     14.87,   1140.74,     0.34302,      19.654,          2.124
      5,      50.0,     14.54,   1162.03,     0.49394,      28.301,          2.077
      5,      50.0,     18.80,    899.86,     1.51821,      86.987,          2.685
      5,      50.0,     25.17,    671.80,     0.46365,      26.565,          3.595
      5,      50.0,     14.86,   1135.11,     0.06657,       3.814,          2.123
      5,      50.0,     14.87,   1151.24,     0.27830,      15.945,          2.125
      5,      50.0,     14.44,   1182.54,     0.21109,      12.095,          2.063
      5,      50.0,     14.43,   1172.66,     0.14190,       8.130,          2.062
      5,      50.0,     15.25,   1112.52,     0.34302,      19.654,          2.178
      5,      50.0,     14.93,   1131.67,     0.58800,      33.690,          2.133
      5,      50.0,     14.43,   1168.96,     0.43241,      24.775,          2.062
      5,      50.0,     18.26,    926.65,     1.62629,      93.180,          2.608
      5,      50.0,     25.27,    669.39,     0.49935,      28.610,          3.611
      5,      50.0,     14.43,   1168.65,     0.14190,       8.130,          2.062
      5,      50.0,     14.66,   1157.66,     0.43241,      24.775,          2.094
      5,      50.0,     14.93,   1130.37,     0.55165,      31.608,          2.133
      5,      50.0,     15.01,   1125.32,     0.60554,      34.695,          2.144
      5,      50.0,     14.56,   1172.06,     0.27830,      15.945,          2.079
      5,      50.0,     14.74,   1147.97,     0.21109,      12.095,          2.106
      5,      50.0,     14.58,   1175.08,     0.36717,      21.038,          2.083
      5,      50.0,     18.80,    900.06,     1.62629,      93.180,          2.685
      5,      50.0,     24.36,    694.84,     0.55431,      31.760,          3.480
      5,      50.0,     14.24,   1188.13,     0.34302,      19.654,          2.034
      5,      50.0,     14.97,   1127.70,     0.73782,      42.274,          2.139
      5,      50.0,     14.32,   1196.59,     0.43241,      24.775,          2.045
      5,      50.0,     14.33,   1184.66,     0.52807,      30.256,          2.047
      5,      50.0,     14.10,   1209.51,     0.27830,      15.945,          2.014
      5,      50.0,     15.06,   1120.87,     0.60554,      34.695,          2.151
      5,      50.0,     14.62,   1153.50,     0.19740,      11.310,          2.089
      5,      50.0,     18.39,    919.76,     1.68145,      96.340,          2.628
      5,      50.0,     24.84,    681.84,     0.63503,      36.384,          3.548
      5,      50.0,     14.79,   1159.12,     0.52807,      30.256,          2.113
      5,      50.0,     15.01,   1124.59,     0.60554,      34.695,          2.145
      5,      50.0,     14.08,   1197.93,     0.27830,      15.945,          2.012
      5,      50.0,     14.84,   1143.97,     0.55165,      31.608,          2.120
      5,      50.0,     14.40,   1175.08,     0.36717,      21.038,          2.057
      5,      50.0,     14.32,   1190.46,     0.43241,      24.775,          2.045
      5,      50.0,     18.83,    898.02,     1.77829,     101.889,          2.691
      5,      50.0,     24.21,    700.13,     0.66829,      38.290,          3.458
      5,      50.0,     14.31,   1187.49,     0.68573,      39.289,          2.044
      5,      50.0,     14.52,   1162.71,     0.73782,      42.274,          2.075
      5,      50.0,     14.40,   1171.63,     0.27830,      15.945,          2.057
      5,      50.0,     14.42,   1188.54,     0.58800,      33.690,          2.060
      5,      50.0,     14.00,   1208.57,     0.36717,      21.038,          1.999
      5,      50.0,     14.43,   1180.31,     0.43241,      24.775,          2.062
      5,      50.0,     18.86,    896.72,     1.84174,     105.524,          2.695
      5,      50.0,     24.47,    693.20,     0.67474,      38.660,          3.496
      5,      50.0,     14.21,   1188.51,     0.88507,      50.711,          2.030
      5,      50.0,     14.21,   1195.98,     0.68573,      39.289,          2.030
      5,      50.0,     14.45,   1167.42,     0.40489,      23.199,          2.064
      5,      50.0,     14.20,   1190.78,     0.43241,      24.775,          2.029
      5,      50.0,     14.16,   1202.96,     0.52807,      30.256,          2.022
      5,      50.0,     18.97,    891.26,     1.89255,     108.435,          2.711
      5,      50.0,     25.46,    666.26,     0.78540,      45.000,          3.637
      5,      50.0,     14.61,   1173.56,     0.68573,      39.289,          2.087
      5,      50.0,     14.66,   1150.77,     0.49394,      28.301,          2.094
      5,      50.0,     15.00,   1124.70,     0.92730,      53.130,          2.143
      5,      50.0,     14.17,   1199.70,     0.73282,      41.987,          2.024
      5,      50.0,     13.99,   1208.62,     0.46365,      26.565,          1.999
      5,      50.0,     14.79,   1150.70,     0.49394,      28.301,          2.113
      5,      50.0,     19.00,    890.20,     1.96140,     112.380,          2.714
      5,      50.0,     25.55,    664.27,     0.84090,      48.180,          3.651
      5,      50.0,     14.76,   1142.46,     0.49394,      28.301,          2.109
      5,      50.0,     14.72,   1148.20,     0.92730,      53.130,          2.102
      5,      50.0,     14.21,   1206.06,     0.68573,      39.289,          2.030
      5,      50.0,     14.38,   1176.01,     0.68573,      39.289,          2.054
      5,      50.0,     13.91,   1222.55,     0.64350,      36.870,          1.988
      5,      50.0,     18.13,    932.28,     2.01064,     115.201,          2.590
      5,      50.0,     24.78,    685.57,     0.95055,      54.462,          3.540
      5,      50.0,     14.50,   1163.28,     0.55165,      31.608,          2.071
      5,      50.0,     15.01,   1123.43,     1.01914,      58.393,          2.145
      5,      50.0,     14.66,   1160.45,     0.98279,      56.310,          2.094
      5,      50.0,     14.17,   1199.70,     0.73282,      41.987,          2.024
      5,      50.0,     15.19,   1112.77,     1.01914,      58.393,          2.170
      5,      50.0,     14.61,   1157.51,     0.64350,      36.870,          2.087
      5,      50.0,     14.55,   1177.74,     0.88507,      50.711,          2.078
      5,      50.0,     18.70,    903.55,     2.12940,     122.005,          2.672
      5,      50.0,     24.45,    695.36,     1.01649,      58.241,          3.492
      5,      50.0,     14.65,   1151.08,     1.10715,      63.435,          2.094
      5,      50.0,     14.99,   1127.99,     1.16590,      66.801,          2.142
      5,      50.0,     14.50,   1165.44,     0.73782,      42.274,          2.072
      5,      50.0,     13.89,   1224.46,     1.04272,      59.744,          1.985
      5,      50.0,     14.19,   1197.36,     0.88507,      50.711,          2.027
      5,      50.0,     14.26,   1201.11,     0.94200,      53.973,          2.037
      5,      50.0,     18.53,    911.72,     2.11122,     120.964,          2.648
      5,      50.0,     24.60,    691.32,     1.10715,      63.435,          3.514
      5,      50.0,     15.20,   1110.32,     1.31019,      75.069,          2.171
      5,      50.0,     14.19,   1191.33,     0.88507,      50.711,          2.027
      5,      50.0,     14.67,   1159.88,     1.07685,      61.699,          2.096
      5,      50.0,     15.05,   1124.20,     1.22777,      70.346,          2.150
      5,      50.0,     14.03,   1209.55,     0.88507,      50.711,          2.004
      5,      50.0,     14.78,   1158.23,     0.98279,      56.310,          2.111
      5,      50.0,     25.29,    672.44,     1.12469,      64.440,          3.612
      5,      50.0,     14.24,   1195.62,     1.20362,      68.963,          2.034
      5,      50.0,     14.10,   1213.44,     1.10715,      63.435,          2.014
      5,      50.0,     14.26,   1183.47,     1.29250,      74.055,          2.037
      5,      50.0,     15.22,   1108.40,     0.87606,      50.194,          2.174
      5,      50.0,     15.23,   1110.97,     1.16590,      66.801,          2.176
      5,      50.0,     14.26,   1185.44,     0.88507,      50.711,          2.037
      5,      50.0,     14.01,   1210.66,     0.94200,      53.973,          2.002
      5,      50.0,     18.80,    898.45,     2.27942,     130.601,          2.685
      5,      50.0,     25.00,    680.74,     1.19781,      68.629,          3.571
      5,      50.0,     14.56,   1159.10,     1.29250,      74.055,          2.080
      5,      50.0,     14.00,   1220.61,     1.13839,      65.225,          1.999
      5,      50.0,     14.92,   1130.23,     0.92730,      53.130,          2.132
      5,      50.0,     14.72,   1150.24,     1.29250,      74.055,          2.102
      5,      50.0,     14.02,   1204.70,     0.98279,      56.310,          2.003
      5,      50.0,     14.59,   1166.69,     1.22777,      70.346,          2.084
      5,      50.0,     14.16,   1197.14,     0.98279,      56.310,          2.022
      5,      50.0,     18.76,    900.22,     2.27942,     130.601,          2.680
      5,      50.0,     25.01,    680.61,     1.23606,      70.821,          3.573
      5,      50.0,     14.43,   1169.71,     1.37340,      78.690,          2.062
      5,      50.0,     14.36,   1174.57,     0.94200,      53.973,          2.052
      5,      50.0,     14.50,   1164.93,     1.04272,      59.744,          2.071
      5,      50.0,     14.12,   1208.99,     1.20362,      68.963,          2.018
      5,      50.0,     14.62,   1157.75,     1.37340,      78.690,          2.089
      5,      50.0,     14.40,   1181.55,     1.29250,      74.055,          2.057
      5,      50.0,     14.10,   1201.20,     1.07685,      61.699,          2.014
      5,      50.0,     19.12,    882.87,     2.43297,     139.399,          2.732
      5,      50.0,     25.22,    674.90,     1.32582,      75.964,          3.603
      5,      50.0,     14.84,   1136.44,     1.01914,      58.393,          2.120
      5,      50.0,     14.08,   1210.99,     1.20362,      68.963,          2.012
      5,      50.0,     14.13,   1203.50,     1.35970,      77.905,          2.019
      5,      50.0,     14.86,   1136.22,     1.43824,      82.405,          2.123
      5,      50.0,     14.32,   1181.87,     1.13839,      65.225,          2.045
      5,      50.0,     13.87,   1217.76,     1.10715,      63.435,          1.981
      5,      50.0,     15.01,   1128.12,     1.37340,      78.690,          2.144
      5,      50.0,     18.91,    892.67,     2.47562,     141.843,          2.701
      5,      50.0,     25.22,    675.14,     1.33525,      76.504,          3.602
      5,      50.0,     14.53,   1162.19,     1.50423,      86.186,          2.076
      5,      50.0,     14.43,   1168.62,     1.04272,      59.744,          2.062
      5,      50.0,     14.86,   1139.88,     1.50423,      86.186,          2.123
      5,      50.0,     14.40,   1174.82,     1.20362,      68.963,          2.057
      5,      50.0,     14.81,   1148.36,     1.37340,      78.690,          2.115
      5,      50.0,     14.26,   1184.19,     1.20362,      68.963,          2.037
      5,      50.0,     14.26,   1195.30,     1.27230,      72.897,          2.037
      5,      50.0,     18.80,    897.94,     2.55359,     146.310,          2.685
      5,      50.0,     25.19,    675.54,     1.45137,      83.157,          3.599
      5,      50.0,     14.87,   1134.05,     1.13839,      65.225,          2.125
      5,      50.0,     14.14,   1202.39,     1.42890,      81.870,          2.020
      5,      50.0,     14.26,   1188.33,     1.57080,      90.000,          2.037
      5,      50.0,     15.02,   1125.45,     1.57080,      90.000,          2.145
      5,      50.0,     14.42,   1173.11,     1.34400,      77.005,          2.059
      5,      50.0,     14.59,   1157.11,     1.22777,      70.346,          2.085
      5,      50.0,     14.32,   1189.48,     1.35970,      77.905,          2.045
      5,      50.0,     19.30,    874.50,     2.58299,     147.995,          2.757
      5,      50.0,     25.58,    665.04,     1.49097,      85.426,          3.654
      5,      50.0,     14.73,   1145.19,     1.22777,      70.346,          2.104
      5,      50.0,     15.02,   1128.64,     1.57080,      90.000,          2.145
      5,      50.0,     13.83,   1222.27,     1.35970,      77.905,          1.976
      5,      50.0,     14.24,   1185.64,     1.22777,      70.346,          2.034
      5,      50.0,     14.03,   1213.41,     1.35970,      77.905,          2.004
      5,      50.0,     19.24,    876.85,     2.62920,     150.642,          2.749
      5,      50.0,     14.04,   1211.51,     1.49949,      85.914,          2.005
      5,      50.0,     25.01,    679.90,     1.53082,      87.709,          3.573
      5,      50.0,     14.81,   1142.42,     1.63736,      93.814,          2.116
      5,      50.0,     14.26,   1192.54,     1.57080,      90.000,          2.037
      5,      50.0,     14.81,   1145.16,     1.70335,      97.595,          2.116
      5,      50.0,     13.96,   1209.75,     1.27230,      72.897,          1.994
      5,      50.0,     13.54,   1248.10,     1.41815,      81.254,          1.934
      5,      50.0,     14.09,   1207.38,     1.49949,      85.914,          2.013
      5,      50.0,     14.72,   1145.86,     1.22777,      70.346,          2.103
      5,      50.0,     18.72,    901.27,     2.75099,     157.620,          2.674
      5,      50.0,     25.53,    665.82,     1.60924,      92.203,          3.647
      5,      50.0,     14.40,   1171.81,     1.22777,      70.346,          2.057
      5,      50.0,     14.00,   1214.59,     1.57080,      90.000,          2.000
      5,      50.0,     14.62,   1154.35,     1.29250,      74.055,          2.089
      5,      50.0,     14.53,   1166.77,     1.63736,      93.814,          2.076
      5,      50.0,     13.78,   1234.22,     1.57080,      90.000,          1.968
      5,      50.0,     14.04,   1202.77,     1.29250,      74.055,          2.006
      5,      50.0,     15.36,   1102.24,     1.69515,      97.125,          2.194
      5,      50.0,     19.00,    887.99,     2.81984,     161.565,          2.714
      5,      50.0,     26.58,    639.17,     1.64757,      94.399,          3.798
      5,      50.0,     14.81,   1143.64,     1.76819,     101.310,          2.115
      5,      50.0,     14.23,   1186.22,     1.43824,      82.405,          2.033
      5,      50.0,     14.36,   1175.70,     1.42890,      81.870,          2.052
      5,      50.0,     14.52,   1170.47,     1.57080,      90.000,          2.074
      5,      50.0,     14.00,   1214.15,     1.57080,      90.000,          2.000
      5,      50.0,     14.56,   1158.74,     1.29250,      74.055,          2.080
      5,      50.0,     14.72,   1152.23,     1.78189,     102.095,          2.103
      5,      50.0,     18.66,    903.77,     2.80230,     160.560,          2.666
      5,      50.0,     25.47,    667.12,     1.65063,      94.574,          3.639
      5,      50.0,     15.04,   1126.40,     1.83140,     104.932,          2.149
      5,      50.0,     14.04,   1202.82,     1.49949,      85.914,          2.005
      5,      50.0,     14.62,   1153.99,     1.31019,      75.069,          2.089
      5,      50.0,     13.87,   1217.06,     1.42890,      81.870,          1.981
      5,      50.0,     14.23,   1192.10,     1.78189,     102.095,          2.033
      5,      50.0,     13.76,   1234.55,     1.64210,      94.086,          1.966
      5,      50.0,     14.09,   1206.05,     1.71269,      98.130,          2.013
      5,      50.0,     18.83,    895.87,     2.85554,     163.611,          2.690
      5,      50.0,     25.61,    663.28,     1.72345,      98.746,          3.658
      5,      50.0,     14.44,   1174.78,     1.76819,     101.310,          2.063
      5,      50.0,     14.31,   1179.23,     1.49949,      85.914,          2.045
      5,      50.0,     13.65,   1244.62,     1.71269,      98.130,          1.950
      5,      50.0,     13.81,   1228.48,     1.71269,      98.130,          1.973
      5,      50.0,     19.16,    880.19,     2.87065,     164.476,          2.738
      5,      50.0,     25.90,    655.62,     1.80634,     103.496,          3.700
      5,      50.0,     14.14,   1193.07,     1.42890,      81.870,          2.020
      5,      50.0,     13.00,   1298.10,     1.57080,      90.000,          1.857
      5,      50.0,     14.00,   1205.38,     1.57080,      90.000,          2.000
      5,      50.0,     13.56,   1250.98,     1.72345,      98.746,          1.937
      5,      50.0,     14.41,   1176.32,     1.97569,     113.199,          2.059
      5,      50.0,     14.25,   1191.84,     1.84910,     105.945,          2.035
      5,      50.0,     13.95,   1215.95,     1.84910,     105.945,          1.993
      5,      50.0,     19.33,    872.83,     2.97644,     170.538,          2.761
      5,      50.0,     26.32,    645.08,     1.79760,     102.995,          3.760
      5,      50.0,     14.72,   1151.83,     1.97569,     113.199,          2.103
      5,      50.0,     14.53,   1160.79,     1.50423,      86.186,          2.076
      5,      50.0,     14.50,   1163.71,     1.57080,      90.000,          2.071
      5,      50.0,     14.04,   1202.12,     1.64210,      94.086,          2.005
      5,      50.0,     13.37,   1267.13,     1.71269,      98.130,          1.910
      5,      50.0,     14.08,   1204.73,     1.84910,     105.945,          2.012
      5,      50.0,     14.13,   1200.55,     1.78189,     102.095,          2.019
      5,      50.0,     18.74,    900.07,     2.97644,     170.538,          2.677
      5,      50.0,     25.95,    654.24,     1.84381,     105.642,          3.706
      5,      50.0,     14.03,   1207.35,     1.78189,     102.095,          2.004
      5,      50.0,     14.28,   1181.79,     1.50423,      86.186,          2.039
      5,      50.0,     13.81,   1221.35,     1.71269,      98.130,          1.973
      5,      50.0,     14.40,   1178.26,     1.91382,     109.654,          2.057
      5,      50.0,     13.96,   1215.57,     1.86930,     107.103,          1.994
      5,      50.0,     18.67,    903.34,     2.98499,     171.028,          2.668
      5,      50.0,     25.78,    658.38,     1.85459,     106.260,          3.683
      5,      50.0,     14.76,   1143.18,     1.50423,      86.186,          2.108
      5,      50.0,     14.13,   1200.93,     2.00320,     114.775,          2.018
      5,      50.0,     14.36,   1174.51,     1.71269,      98.130,          2.052
      5,      50.0,     14.28,   1181.79,     1.64210,      94.086,          2.039
      5,      50.0,     14.13,   1197.79,     1.84910,     105.945,          2.019
      5,      50.0,     13.78,   1230.99,     1.86930,     107.103,          1.968
      5,      50.0,     18.89,    893.10,     2.98499,     171.028,          2.698
      5,      50.0,     25.47,    666.58,     1.89255,     108.435,          3.638
      5,      50.0,     13.37,   1261.49,     1.72345,      98.746,          1.910
      5,      50.0,     14.08,   1203.65,     1.84910,     105.945,          2.012
      5,      50.0,     14.31,   1178.74,     1.63736,      93.814,          2.045
      5,      50.0,     14.13,   1196.93,     1.78189,     102.095,          2.019
      5,      50.0,     14.45,   1173.33,     2.00320,     114.775,          2.064
      5,      50.0,     14.67,   1156.25,     2.06474,     118.301,          2.096
      5,      50.0,     14.52,   1162.10,     1.64210,      94.086,          2.074
      5,      50.0,     18.57,    908.61,     3.08901,     176.987,          2.652
      5,      50.0,     26.29,    646.00,     1.91635,     109.799,          3.755
      5,      50.0,     14.26,   1183.10,     1.57080,      90.000,          2.037
      5,      50.0,     14.20,   1193.90,     2.06474,     118.301,          2.029
      5,      50.0,     14.33,   1182.50,     1.97569,     113.199,          2.047
      5,      50.0,     13.65,   1235.96,     1.72345,      98.746,          1.950
      5,      50.0,     13.92,   1216.96,     1.93797,     111.038,          1.989
      5,      50.0,     13.78,   1227.51,     1.86930,     107.103,          1.968
      5,      50.0,     18.30,    921.90,     3.08609,     176.820,          2.614
      5,      50.0,     25.79,    658.51,     1.88050,     107.745,          3.685
