,fixed distance ,,,,,,,,,
id,N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Angle [deg],abs,Column1,double fold, Alpha [px/bit]
1215,5,50,53.48,315.97,-1.71787,-98.427,98.427,8.427,36.573,7.64
1050,5,50,53.48,316.02,-1.69739,-97.253,97.253,7.253,37.747,7.64
1218,5,50,53.47,315.95,-2.5128,-143.973,143.973,53.973,8.973,7.639
1389,5,50,53.47,315.92,0.7854,45,45,45,0,7.638
1280,5,50,53.46,316,0.79873,45.764,45.764,44.236,0.764,7.638
1316,5,50,53.47,316.08,-0.70449,-40.365,40.365,49.635,4.635,7.638
493,5,50,53.46,315.86,0.99834,57.201,57.201,32.799,12.201,7.638
1355,5,50,53.46,315.77,2.77845,159.193,159.193,69.193,24.193,7.638
1225,5,50,53.47,315.73,1.68145,96.34,96.34,6.34,38.66,7.638
485,5,50,53.47,315.85,-3.03094,-173.66,173.66,83.66,38.66,7.638
1357,5,50,53.46,315.75,2.22537,127.504,127.504,37.504,7.496,7.637
1068,5,50,53.46,316.09,-1.77926,-101.944,101.944,11.944,33.056,7.637
1089,5,50,53.46,316.09,-1.77926,-101.944,101.944,11.944,33.056,7.637
1090,5,50,53.45,316.09,-2.05965,-118.009,118.009,28.009,16.991,7.636
1173,5,50,53.45,315.84,2.01764,115.602,115.602,25.602,19.398,7.635
1196,5,50,53.45,315.87,2.93695,168.275,168.275,78.275,33.275,7.635
1235,5,50,53.44,316.28,-0.7854,-45,45,45,0,7.634
1091,5,50,53.44,316.15,-2.33056,-133.531,133.531,43.531,1.469,7.634
489,5,50,53.44,315.9,2.06722,118.443,118.443,28.443,16.557,7.634
563,5,50,53.44,316.31,-1.66146,-95.195,95.195,5.195,39.805,7.634
1133,5,50,53.43,316.32,-0.62464,-35.789,35.789,54.211,9.211,7.633
1167,5,50,53.43,316.15,-2.60431,-149.216,149.216,59.216,14.216,7.633
1087,5,50,53.43,316.3,-1.28474,-73.611,73.611,16.389,28.611,7.633
1141,5,50,53.43,316.28,-2.40743,-137.936,137.936,47.936,2.936,7.632
1126,5,50,53.43,316.23,0.69233,39.668,39.668,50.332,5.332,7.632
911,5,50,53.43,316.34,-1.31254,-75.203,75.203,14.797,30.203,7.632
959,5,50,53.42,316.31,-0.0726,-4.16,4.16,85.84,40.84,7.632
1107,5,50,53.42,316.39,-0.77241,-44.256,44.256,45.744,0.744,7.631
1308,5,50,53.41,316.23,0.79838,45.744,45.744,44.256,0.744,7.63
1152,5,50,53.41,316.15,0.90483,51.843,51.843,38.157,6.843,7.63
1080,5,50,53.41,316.26,0.43114,24.702,24.702,65.298,20.298,7.63
1414,5,50,53.41,316.19,1.43699,82.333,82.333,7.667,37.333,7.63
895,5,50,53.41,316.44,-1.67946,-96.226,96.226,6.226,38.774,7.63
1245,5,50,53.4,316.17,2.9516,169.115,169.115,79.115,34.115,7.629
681,5,50,53.4,316.15,3.00778,172.333,172.333,82.333,37.333,7.628
1327,5,50,53.4,316.15,3.02887,173.541,173.541,83.541,38.541,7.628
1146,5,50,53.39,316.18,2.61082,149.589,149.589,59.589,14.589,7.627
1119,5,50,53.39,316.22,2.69475,154.398,154.398,64.398,19.398,7.627
1240,5,50,53.39,316.49,-1.96559,-112.62,112.62,22.62,22.38,7.627
1243,5,50,53.39,316.35,-2.76109,-158.199,158.199,68.199,23.199,7.627
1011,5,50,53.39,316.43,0,0,0,90,45,7.627
522,5,50,53.37,316.39,0.90175,51.667,51.667,38.333,6.667,7.625
707,5,50,53.38,316.56,0.01818,1.042,1.042,88.958,43.958,7.625
1115,5,50,53.37,316.56,-2.53836,-145.438,145.438,55.438,10.438,7.624
1098,5,50,53.37,316.29,1.79346,102.758,102.758,12.758,32.242,7.624
1088,5,50,53.37,316.73,-1.50074,-85.986,85.986,4.014,40.986,7.624
1121,5,50,53.36,316.3,2.05965,118.009,118.009,28.009,16.991,7.623
1046,5,50,53.36,316.73,-0.40489,-23.199,23.199,66.801,21.801,7.623
1269,5,50,53.36,316.59,-2.60431,-149.216,149.216,59.216,14.216,7.622
1199,5,50,53.36,316.37,2.04292,117.051,117.051,27.051,17.949,7.622
1403,5,50,53.35,316.66,-1.93394,-110.807,110.807,20.807,24.193,7.622
1014,5,50,53.35,316.78,-1.02401,-58.671,58.671,31.329,13.671,7.621
1015,5,50,53.35,316.78,-1.02401,-58.671,58.671,31.329,13.671,7.621
1415,5,50,53.35,316.5,1.13095,64.799,64.799,25.201,19.799,7.621
1151,5,50,53.35,316.5,1.20089,68.806,68.806,21.194,23.806,7.621
447,5,50,53.35,316.75,-1.77926,-101.944,101.944,11.944,33.056,7.621
535,5,50,53.35,316.74,-1.66313,-95.29,95.29,5.29,39.71,7.621
1175,5,50,53.34,316.53,1.45807,83.541,83.541,6.459,38.541,7.62
511,5,50,53.33,316.78,-2.56913,-147.201,147.201,57.201,12.201,7.619
943,5,50,53.33,316.9,-0.47952,-27.474,27.474,62.526,17.526,7.619
1032,5,50,53.33,316.92,-1.49949,-85.914,85.914,4.086,40.914,7.618
1094,5,50,53.33,316.58,3.10525,177.918,177.918,87.918,42.918,7.618
1073,5,50,53.32,316.62,2.78282,159.444,159.444,69.444,24.444,7.617
1045,5,50,53.32,316.98,-0.09586,-5.492,5.492,84.508,39.508,7.617
1079,5,50,53.31,316.85,0.72055,41.285,41.285,48.715,3.715,7.616
1095,5,50,53.31,316.69,2.77169,158.806,158.806,68.806,23.806,7.616
840,5,50,53.31,316.94,-0.1974,-11.31,11.31,78.69,33.69,7.616
1049,5,50,53.31,317.07,-1.39094,-79.695,79.695,10.305,34.695,7.616
981,5,50,53.31,317.03,-1.60714,-92.083,92.083,2.083,42.917,7.616
1192,5,50,53.31,316.93,-2.22187,-127.304,127.304,37.304,7.696,7.615
1329,5,50,53.3,316.68,2.50182,143.344,143.344,53.344,8.344,7.615
1177,5,50,53.31,316.82,0.95703,54.834,54.834,35.166,9.834,7.615
774,5,50,53.3,317.05,-0.36717,-21.038,21.038,68.962,23.962,7.614
1093,5,50,53.3,316.79,-2.89661,-165.964,165.964,75.964,30.964,7.614
963,5,50,53.3,317.14,-1.38769,-79.509,79.509,10.491,34.509,7.614
444,5,50,53.29,317.12,-0.95265,-54.583,54.583,35.417,9.583,7.613
1102,5,50,53.29,316.94,0.52807,30.256,30.256,59.744,14.744,7.613
1222,5,50,53.29,316.78,2.61082,149.589,149.589,59.589,14.589,7.612
773,5,50,53.29,317.11,0.01887,1.081,1.081,88.919,43.919,7.612
1103,5,50,53.28,317.16,0.24498,14.036,14.036,75.964,30.964,7.611
1016,5,50,53.28,317.21,-1.32582,-75.964,75.964,14.036,30.964,7.611
1274,5,50,53.27,316.83,2.44926,140.332,140.332,50.332,5.332,7.61
910,5,50,53.27,317.25,-0.99834,-57.201,57.201,32.799,12.201,7.61
1224,5,50,53.27,316.88,1.9928,114.179,114.179,24.179,20.821,7.61
999,5,50,53.27,317.21,-1.77926,-101.944,101.944,11.944,33.056,7.61
1302,5,50,53.27,316.87,2.44926,140.332,140.332,50.332,5.332,7.609
1378,5,50,53.26,317.19,-2.52782,-144.834,144.834,54.834,9.834,7.609
822,5,50,53.26,317.21,0.2985,17.103,17.103,72.897,27.897,7.609
1405,5,50,53.26,317.17,-2.5128,-143.973,143.973,53.973,8.973,7.608
1384,5,50,53.26,316.93,2.08525,119.476,119.476,29.476,15.524,7.608
462,5,50,53.25,317.45,-0.89883,-51.499,51.499,38.501,6.499,7.607
1404,5,50,53.25,317.2,-2.20663,-126.431,126.431,36.431,8.569,7.607
684,5,50,53.25,317.02,2.02625,116.096,116.096,26.096,18.904,7.607
1201,5,50,53.25,317.07,1.43699,82.333,82.333,7.667,37.333,7.607
1013,5,50,53.24,317.46,-0.65789,-37.694,37.694,52.306,7.306,7.605
460,5,50,53.24,317.4,-0.22266,-12.758,12.758,77.242,32.242,7.605
1159,5,50,53.22,317.56,-0.66597,-38.157,38.157,51.843,6.843,7.603
739,5,50,53.22,317.57,0.42976,24.624,24.624,65.376,20.376,7.603
1191,5,50,53.22,317.47,-1.93394,-110.807,110.807,20.807,24.193,7.602
893,5,50,53.21,317.64,-0.99289,-56.889,56.889,33.111,11.889,7.601
459,5,50,53.21,317.51,0.17985,10.305,10.305,79.695,34.695,7.601
1153,5,50,53.2,317.51,0.588,33.69,33.69,56.31,11.31,7.6
876,5,50,53.2,317.69,-0.98279,-56.31,56.31,33.69,11.31,7.6
962,5,50,53.2,317.68,-1.02401,-58.671,58.671,31.329,13.671,7.6
1354,5,50,53.2,317.4,3.03094,173.66,173.66,83.66,38.66,7.6
1067,5,50,53.2,317.7,-1.48014,-84.806,84.806,5.194,39.806,7.6
912,5,50,53.19,317.73,-1.64474,-94.236,94.236,4.236,40.764,7.599
874,5,50,53.19,317.75,-0.23625,-13.536,13.536,76.464,31.464,7.598
539,5,50,53.18,317.69,-2.6292,-150.642,150.642,60.642,15.642,7.597
960,5,50,53.17,317.85,-0.37373,-21.413,21.413,68.587,23.587,7.596
446,5,50,53.17,317.92,-1.49686,-85.764,85.764,4.236,40.764,7.596
488,5,50,53.16,317.49,2.4102,138.094,138.094,48.094,3.094,7.595
1323,5,50,53.15,317.78,-2.23677,-128.157,128.157,38.157,6.843,7.594
909,5,50,53.16,317.94,-0.6078,-34.825,34.825,55.175,10.175,7.594
481,5,50,53.16,317.87,-1.739,-99.638,99.638,9.638,35.362,7.594
709,5,50,53.15,317.96,-0.69474,-39.806,39.806,50.194,5.194,7.593
1377,5,50,53.15,317.79,-2.22187,-127.304,127.304,37.304,7.696,7.593
1382,5,50,53.15,317.64,2.66947,152.95,152.95,62.95,17.95,7.593
708,5,50,53.15,317.96,-0.34422,-19.722,19.722,70.278,25.278,7.593
685,5,50,53.15,317.68,1.69023,96.843,96.843,6.843,38.157,7.593
1303,5,50,53.15,317.59,2.11122,120.964,120.964,30.964,14.036,7.592
445,5,50,53.14,318.08,-1.2315,-70.56,70.56,19.44,25.56,7.592
1031,5,50,53.14,318.05,-1.23755,-70.907,70.907,19.093,25.907,7.591
993,5,50,53.14,317.92,0.16515,9.462,9.462,80.538,35.538,7.591
823,5,50,53.14,318,-0.07394,-4.236,4.236,85.764,40.764,7.591
1216,5,50,53.13,318.06,-1.96842,-112.783,112.783,22.783,22.217,7.59
486,5,50,53.13,317.77,2.9516,169.115,169.115,79.115,34.115,7.59
964,5,50,53.13,318.1,-1.73595,-99.462,99.462,9.462,35.538,7.59
1147,5,50,53.11,317.78,2.28963,131.186,131.186,41.186,3.814,7.588
947,5,50,53.12,318.06,-1.80634,-103.496,103.496,13.496,31.504,7.588
1114,5,50,53.11,318.11,-2.23677,-128.157,128.157,38.157,6.843,7.587
1043,5,50,53.11,318.09,0.57246,32.8,32.8,57.2,12.2,7.587
484,5,50,53.11,317.99,-2.68614,-153.905,153.905,63.905,18.905,7.587
1172,5,50,53.09,317.9,2.28781,131.082,131.082,41.082,3.918,7.585
945,5,50,53.1,318.3,-1.14879,-65.821,65.821,24.179,20.821,7.585
476,5,50,53.1,318.23,0.01887,1.081,1.081,88.919,43.919,7.585
825,5,50,53.09,318.36,-0.70661,-40.486,40.486,49.514,4.514,7.584
994,5,50,53.09,318.33,-0.13132,-7.524,7.524,82.476,37.476,7.584
824,5,50,53.08,318.41,-0.36717,-21.038,21.038,68.962,23.962,7.583
1228,5,50,53.08,318.3,0.85197,48.814,48.814,41.186,3.814,7.582
1410,5,50,53.08,318.04,2.49052,142.696,142.696,52.696,7.696,7.582
1065,5,50,53.07,318.46,-0.86217,-49.399,49.399,40.601,4.399,7.581
1241,5,50,53.07,318.35,-2.18457,-125.167,125.167,35.167,9.833,7.581
1221,5,50,53.07,318.12,2.91479,167.006,167.006,77.006,32.006,7.581
890,5,50,53.07,318.35,0.09066,5.194,5.194,84.806,39.806,7.581
907,5,50,53.07,318.35,0.09066,5.194,5.194,84.806,39.806,7.581
875,5,50,53.06,318.51,-0.61814,-35.417,35.417,54.583,9.583,7.58
1066,5,50,53.06,318.51,-1.12395,-64.398,64.398,25.602,19.398,7.58
839,5,50,53.06,318.35,0.17985,10.305,10.305,79.695,34.695,7.58
844,5,50,53.06,318.6,-1.5351,-87.955,87.955,2.045,42.955,7.58
979,5,50,53.05,318.57,-0.96757,-55.438,55.438,34.562,10.438,7.579
1101,5,50,53.04,318.45,0.81171,46.507,46.507,43.493,1.507,7.578
477,5,50,53.04,318.55,-0.33929,-19.44,19.44,70.56,25.56,7.578
1028,5,50,53.05,318.6,-0.22266,-12.758,12.758,77.242,32.242,7.578
976,5,50,53.04,318.52,0.07394,4.236,4.236,85.764,40.764,7.577
743,5,50,53.03,318.7,-0.97779,-56.024,56.024,33.976,11.024,7.576
461,5,50,53.03,318.76,-0.50529,-28.951,28.951,61.049,16.049,7.576
1099,5,50,53.03,318.39,1.45592,83.418,83.418,6.582,38.418,7.576
861,5,50,53.03,318.68,-1.58931,-91.061,91.061,1.061,43.939,7.576
1078,5,50,53.03,318.51,1.08194,61.991,61.991,28.009,16.991,7.575
860,5,50,53.02,318.74,-1.25483,-71.896,71.896,18.104,26.896,7.575
706,5,50,53.02,318.62,0.35031,20.072,20.072,69.928,24.928,7.574
1217,5,50,53.01,318.64,-2.18457,-125.167,125.167,35.167,9.833,7.573
856,5,50,53.01,318.59,0.10674,6.116,6.116,83.884,38.884,7.573
977,5,50,53,318.8,-0.32175,-18.435,18.435,71.565,26.565,7.572
810,5,50,53.01,318.89,-1.34814,-77.243,77.243,12.757,32.243,7.572
1097,5,50,53,318.47,2.11122,120.964,120.964,30.964,14.036,7.571
1197,5,50,53,318.56,2.67795,153.435,153.435,63.435,18.435,7.571
724,5,50,53,318.85,-0.12891,-7.386,7.386,82.614,37.614,7.571
1247,5,50,52.99,318.5,2.44926,140.332,140.332,50.332,5.332,7.57
995,5,50,52.99,318.94,-0.44684,-25.602,25.602,64.398,19.398,7.57
894,5,50,52.99,318.93,-1.32582,-75.964,75.964,14.036,30.964,7.57
925,5,50,52.99,318.9,-0.1974,-11.31,11.31,78.69,33.69,7.57
1062,5,50,52.99,318.88,0.16515,9.462,9.462,80.538,35.538,7.57
772,5,50,52.98,318.86,0.33929,19.44,19.44,70.56,25.56,7.569
980,5,50,52.98,318.98,-1.24905,-71.565,71.565,18.435,26.565,7.569
463,5,50,52.97,319.03,-1.22524,-70.201,70.201,19.799,25.201,7.568
729,5,50,52.98,318.96,-1.91635,-109.799,109.799,19.799,25.201,7.568
775,5,50,52.97,319,-0.6435,-36.87,36.87,53.13,8.13,7.567
1064,5,50,52.97,319.06,-0.51239,-29.358,29.358,60.642,15.642,7.567
938,5,50,52.96,318.82,1.35598,77.692,77.692,12.308,32.692,7.566
924,5,50,52.96,319.06,0.14444,8.276,8.276,81.724,36.724,7.566
794,5,50,52.97,319.15,-1.4833,-84.987,84.987,5.013,39.987,7.566
809,5,50,52.95,319.16,-0.95703,-54.834,54.834,35.166,9.834,7.565
776,5,50,52.96,319.15,-1.02401,-58.671,58.671,31.329,13.671,7.565
1226,5,50,52.96,318.84,1.38431,79.315,79.315,10.685,34.315,7.565
752,5,50,52.96,318.8,1.74547,100.008,100.008,10.008,34.992,7.565
544,5,50,52.95,318.79,2.44685,140.195,140.195,50.195,5.195,7.564
693,5,50,52.95,319.18,-1.00269,-57.45,57.45,32.55,12.45,7.564
978,5,50,52.93,319.21,-0.6078,-34.825,34.825,55.175,10.175,7.562
1048,5,50,52.93,319.34,-1.08296,-62.049,62.049,27.951,17.049,7.562
877,5,50,52.94,319.26,-1.30289,-74.65,74.65,15.35,29.65,7.562
1063,5,50,52.93,319.23,-0.22266,-12.758,12.758,77.242,32.242,7.562
682,5,50,52.93,318.97,2.70273,154.855,154.855,64.855,19.855,7.561
480,5,50,52.93,319.32,-1.38769,-79.509,79.509,10.491,34.509,7.561
777,5,50,52.93,319.32,-1.38769,-79.509,79.509,10.491,34.509,7.561
1383,5,50,52.92,318.96,2.44926,140.332,140.332,50.332,5.332,7.56
1092,5,50,52.92,319.24,-2.6363,-151.049,151.049,61.049,16.049,7.56
891,5,50,52.92,319.31,-0.32175,-18.435,18.435,71.565,26.565,7.56
941,5,50,52.92,319.3,0.16821,9.638,9.638,80.362,35.362,7.56
711,5,50,52.91,319.4,-1.38431,-79.315,79.315,10.685,34.315,7.559
778,5,50,52.91,319.4,-1.739,-99.638,99.638,9.638,35.362,7.559
808,5,50,52.91,319.43,-0.54348,-31.139,31.139,58.861,13.861,7.558
908,5,50,52.91,319.38,-0.35031,-20.072,20.072,69.928,24.928,7.558
471,5,50,52.91,319.05,1.89255,108.435,108.435,18.435,26.565,7.558
1044,5,50,52.9,319.43,0.24498,14.036,14.036,75.964,30.964,7.557
741,5,50,52.9,319.42,-0.23625,-13.536,13.536,76.464,31.464,7.557
946,5,50,52.9,319.47,-1.46214,-83.774,83.774,6.226,38.774,7.557
1029,5,50,52.89,319.53,-0.51239,-29.358,29.358,60.642,15.642,7.556
694,5,50,52.89,319.54,-1.32121,-75.7,75.7,14.3,30.7,7.556
872,5,50,52.88,319.51,0.41451,23.75,23.75,66.25,21.25,7.554
997,5,50,52.87,319.63,-1.11535,-63.905,63.905,26.095,18.905,7.553
1012,5,50,52.87,319.61,-0.37373,-21.413,21.413,68.587,23.587,7.553
475,5,50,52.87,319.51,0.36717,21.038,21.038,68.962,23.962,7.553
1075,5,50,52.87,319.31,2.07789,119.055,119.055,29.055,15.945,7.552
725,5,50,52.86,319.69,-0.46365,-26.565,26.565,63.435,18.435,7.552
1061,5,50,52.86,319.55,0.43886,25.145,25.145,64.855,19.855,7.552
1120,5,50,52.86,319.36,2.43498,139.514,139.514,49.514,4.514,7.551
1223,5,50,52.86,319.36,2.2606,129.523,129.523,39.523,5.477,7.551
956,5,50,52.86,319.53,1.02401,58.671,58.671,31.329,13.671,7.551
723,5,50,52.85,319.79,0.25367,14.534,14.534,75.466,30.466,7.55
742,5,50,52.84,319.82,-0.61377,-35.166,35.166,54.834,9.834,7.549
791,5,50,52.84,319.84,-0.45545,-26.095,26.095,63.905,18.905,7.549
686,5,50,52.84,319.58,1.36984,78.486,78.486,11.514,33.486,7.549
827,5,50,52.85,319.8,-1.43948,-82.476,82.476,7.524,37.476,7.549
788,5,50,52.84,319.7,0.5779,33.111,33.111,56.889,11.889,7.548
452,5,50,52.84,319.51,2.76468,158.405,158.405,68.405,23.405,7.548
456,5,50,52.83,319.56,1.25483,71.896,71.896,18.104,26.896,7.547
878,5,50,52.83,319.98,-1.69739,-97.253,97.253,7.253,37.747,7.547
454,5,50,52.83,319.59,1.99906,114.538,114.538,24.538,20.462,7.546
889,5,50,52.82,319.84,0.34556,19.799,19.799,70.201,25.201,7.546
760,5,50,52.81,320,-1.2315,-70.56,70.56,19.44,25.56,7.545
928,5,50,52.81,320,-1.2315,-70.56,70.56,19.44,25.56,7.545
789,5,50,52.82,319.98,0.23109,13.241,13.241,76.759,31.759,7.545
836,5,50,52.82,319.67,1.344,77.005,77.005,12.995,32.005,7.545
740,5,50,52.82,319.92,0.09233,5.29,5.29,84.71,39.71,7.545
841,5,50,52.81,320.05,-0.52807,-30.256,30.256,59.744,14.744,7.544
1027,5,50,52.81,319.93,0.43886,25.145,25.145,64.855,19.855,7.544
1030,5,50,52.8,320.1,-0.93805,-53.746,53.746,36.254,8.746,7.543
758,5,50,52.8,320.04,-0.49642,-28.443,28.443,61.557,16.557,7.543
1018,5,50,52.8,320.03,-1.95832,-112.204,112.204,22.204,22.796,7.543
756,5,50,52.79,320.06,0.20847,11.944,11.944,78.056,33.056,7.542
942,5,50,52.8,320.06,-0.13132,-7.524,7.524,82.476,37.476,7.542
892,5,50,52.79,320.1,-0.61814,-35.417,35.417,54.583,9.583,7.541
958,5,50,52.79,320,0.30499,17.475,17.475,72.525,27.525,7.541
744,5,50,52.79,320.21,-1.35213,-77.471,77.471,12.529,32.471,7.541
790,5,50,52.79,320.15,-0.17138,-9.819,9.819,80.181,35.181,7.541
451,5,50,52.78,319.96,3.0871,176.878,176.878,86.878,41.878,7.541
929,5,50,52.79,320.3,-1.58931,-91.061,91.061,1.061,43.939,7.541
683,5,50,52.78,319.83,2.40878,138.013,138.013,48.013,3.013,7.54
937,5,50,52.78,319.85,1.72639,98.915,98.915,8.915,36.085,7.54
785,5,50,52.77,319.92,1.79346,102.758,102.758,12.758,32.242,7.539
811,5,50,52.77,320.26,-1.69739,-97.253,97.253,7.253,37.747,7.539
1074,5,50,52.77,319.91,2.46388,141.17,141.17,51.17,6.17,7.538
450,5,50,52.76,320.14,-2.81385,-161.222,161.222,71.222,26.222,7.538
828,5,50,52.77,320.22,-1.78735,-102.408,102.408,12.408,32.592,7.538
483,5,50,52.76,320.29,-2.42276,-138.814,138.814,48.814,3.814,7.537
961,5,50,52.76,320.29,-0.70661,-40.486,40.486,49.514,4.514,7.537
857,5,50,52.76,320.28,-0.22266,-12.758,12.758,77.242,32.242,7.537
695,5,50,52.76,320.32,-1.69971,-97.386,97.386,7.386,37.614,7.537
798,5,50,52.76,320.04,-3.02672,-173.418,173.418,83.418,38.418,7.537
1096,5,50,52.74,320.04,2.47886,142.029,142.029,52.029,7.029,7.535
702,5,50,52.74,320.08,1.82038,104.3,104.3,14.3,30.7,7.535
917,5,50,52.73,320.18,2.82562,161.896,161.896,71.896,26.896,7.534
923,5,50,52.73,320.41,0.50363,28.856,28.856,61.144,16.144,7.533
879,5,50,52.73,320.41,-1.99099,-114.076,114.076,24.076,20.924,7.533
807,5,50,52.73,320.54,-0.22266,-12.758,12.758,77.242,32.242,7.532
464,5,50,52.72,320.61,-1.66313,-95.29,95.29,5.29,39.71,7.532
920,5,50,52.72,320.24,1.64757,94.399,94.399,4.399,40.601,7.532
1047,5,50,52.71,320.61,-0.7854,-45,45,45,0,7.531
871,5,50,52.72,320.32,0.7854,45,45,45,0,7.531
1069,5,50,52.71,320.61,-2.10157,-120.411,120.411,30.411,14.589,7.531
691,5,50,52.71,320.55,-0.33929,-19.44,19.44,70.56,25.56,7.531
916,5,50,52.71,320.34,-3.06482,-175.601,175.601,85.601,40.601,7.531
1198,5,50,52.71,320.23,2.31512,132.647,132.647,42.647,2.353,7.53
1034,5,50,52.71,320.52,-2.15354,-123.389,123.389,33.389,11.611,7.53
1022,5,50,52.71,320.31,2.8023,160.56,160.56,70.56,25.56,7.53
1002,5,50,52.71,320.45,-2.85554,-163.611,163.611,73.611,28.611,7.53
692,5,50,52.7,320.61,-0.6288,-36.027,36.027,53.973,8.973,7.529
1010,5,50,52.7,320.5,0.31597,18.104,18.104,71.896,26.896,7.529
989,5,50,52.7,320.35,1.68352,96.459,96.459,6.459,38.541,7.529
1033,5,50,52.69,320.74,-1.88677,-108.104,108.104,18.104,26.896,7.528
927,5,50,52.69,320.75,-0.9273,-53.13,53.13,36.87,8.13,7.527
858,5,50,52.69,320.74,-0.52807,-30.256,30.256,59.744,14.744,7.527
853,5,50,52.69,320.48,1.25483,71.896,71.896,18.104,26.896,7.527
859,5,50,52.68,320.79,-0.91291,-52.306,52.306,37.694,7.306,7.526
805,5,50,52.68,320.68,0.45545,26.095,26.095,63.905,18.905,7.526
944,5,50,52.68,320.78,-0.83798,-48.013,48.013,41.987,3.013,7.525
851,5,50,52.67,320.47,2.05965,118.009,118.009,28.009,16.991,7.525
975,5,50,52.68,320.73,0.36315,20.807,20.807,69.193,24.193,7.525
921,5,50,52.67,320.55,1.2315,70.56,70.56,19.44,25.56,7.525
448,5,50,52.66,320.85,-2.11122,-120.964,120.964,30.964,14.036,7.524
988,5,50,52.67,320.5,2.06862,118.523,118.523,28.523,16.477,7.524
906,5,50,52.67,320.76,0.36315,20.807,20.807,69.193,24.193,7.524
732,5,50,52.67,320.55,-3.04753,-174.611,174.611,84.611,39.611,7.524
948,5,50,52.66,320.81,-2.15354,-123.389,123.389,33.389,11.611,7.523
930,5,50,52.66,320.91,-1.91635,-109.799,109.799,19.799,25.201,7.523
843,5,50,52.66,320.92,-1.2315,-70.56,70.56,19.44,25.56,7.523
1040,5,50,52.66,320.58,1.74547,100.008,100.008,10.008,34.992,7.523
745,5,50,52.66,320.94,-1.69739,-97.253,97.253,7.253,37.747,7.523
449,5,50,52.64,320.88,-2.46388,-141.17,141.17,51.17,6.17,7.52
996,5,50,52.63,321.05,-0.85024,-48.715,48.715,41.285,3.715,7.519
850,5,50,52.63,320.73,2.46388,141.17,141.17,51.17,6.17,7.519
793,5,50,52.64,321.08,-1.13966,-65.298,65.298,24.702,20.298,7.519
950,5,50,52.63,320.85,-2.89201,-165.7,165.7,75.7,30.7,7.519
1025,5,50,52.63,320.87,1.66666,95.492,95.492,5.492,39.508,7.518
690,5,50,52.63,321.02,-0.01786,-1.023,1.023,88.977,43.977,7.518
952,5,50,52.62,320.83,2.58499,148.109,148.109,58.109,13.109,7.517
458,5,50,52.61,321.12,0.46365,26.565,26.565,63.435,18.435,7.516
842,5,50,52.61,321.26,-0.89883,-51.499,51.499,38.501,6.499,7.515
801,5,50,52.6,320.89,2.05097,117.512,117.512,27.512,17.488,7.515
926,5,50,52.6,321.27,-0.51915,-29.745,29.745,60.255,15.255,7.514
1100,5,50,52.6,321.02,1.14103,65.376,65.376,24.624,20.376,7.514
965,5,50,52.59,321.44,-2.06722,-118.443,118.443,28.443,16.557,7.513
755,5,50,52.58,321.24,0.588,33.69,33.69,56.31,11.31,7.512
687,5,50,52.59,321.18,1.03351,59.216,59.216,30.784,14.216,7.512
898,5,50,52.58,321.29,-2.7367,-156.802,156.802,66.802,21.802,7.512
1072,5,50,52.59,321.13,3.14159,180,180,90,45,7.512
727,5,50,52.57,321.52,-1.20765,-69.193,69.193,20.807,24.193,7.511
712,5,50,52.58,321.39,-1.739,-99.638,99.638,9.638,35.362,7.511
482,5,50,52.57,321.49,-2.05097,-117.512,117.512,27.512,17.488,7.51
865,5,50,52.57,321.16,-3.04753,-174.611,174.611,84.611,39.611,7.51
769,5,50,52.57,321.17,1.51317,86.698,86.698,3.302,41.698,7.51
1056,5,50,52.56,321.15,2.44926,140.332,140.332,50.332,5.332,7.509
918,5,50,52.56,321.16,2.49052,142.696,142.696,52.696,7.696,7.509
765,5,50,52.56,321.23,3.14159,180,180,90,45,7.509
710,5,50,52.55,321.65,-1.0364,-59.381,59.381,30.619,14.381,7.508
899,5,50,52.55,321.29,3.14159,180,180,90,45,7.508
478,5,50,52.55,321.56,-0.68052,-38.991,38.991,51.009,6.009,7.507
479,5,50,52.55,321.62,-1.0364,-59.381,59.381,30.619,14.381,7.507
990,5,50,52.55,321.37,1.33026,76.218,76.218,13.782,31.218,7.507
998,5,50,52.55,321.61,-1.41815,-81.254,81.254,8.746,36.254,7.507
826,5,50,52.54,321.67,-1.07437,-61.557,61.557,28.443,16.557,7.506
882,5,50,52.54,321.39,3.10387,177.839,177.839,87.839,42.839,7.506
717,5,50,52.53,321.36,2.52597,144.728,144.728,54.728,9.728,7.505
1055,5,50,52.53,321.37,2.80835,160.907,160.907,70.907,25.907,7.505
1026,5,50,52.54,321.42,1.24905,71.565,71.565,18.435,26.565,7.505
982,5,50,52.53,321.71,-1.86398,-106.798,106.798,16.798,28.202,7.505
766,5,50,52.53,321.39,2.76468,158.405,158.405,68.405,23.405,7.504
748,5,50,52.52,321.59,-2.86075,-163.909,163.909,73.909,28.909,7.503
940,5,50,52.51,321.71,0.54679,31.329,31.329,58.671,13.671,7.502
803,5,50,52.51,321.52,1.24905,71.565,71.565,18.435,26.565,7.502
698,5,50,52.51,321.67,-2.86075,-163.909,163.909,73.909,28.909,7.502
1009,5,50,52.5,321.72,0.65457,37.504,37.504,52.496,7.496,7.501
1000,5,50,52.51,321.82,-2.10157,-120.411,120.411,30.411,14.589,7.501
