= RESTART: D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\find_alpha_routine.py
---------------------------------------------------------------------
N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Alpha [px/bit]
      5,      38.5,     13.15,    987.76,     0.15265,          2.631
      5,      38.5,     13.45,    966.20,     0.14190,          2.689
      5,      38.5,     13.65,    952.03,     0.14190,          2.730
      5,      38.5,     13.65,    952.03,     0.14190,          2.730
      5,      38.5,     13.65,    952.03,     0.14190,          2.730
      5,      38.5,     13.65,    952.03,     0.14190,          2.730
      5,      38.5,     13.45,    966.20,     0.15265,          2.689
      5,      38.5,     13.45,    966.20,     0.15265,          2.689
      5,      38.5,     13.45,    966.20,     0.15265,          2.689
      5,      38.5,     13.45,    966.20,     0.15265,          2.689
      5,      38.5,     13.45,    966.20,     0.15265,          2.689
      5,      38.5,     13.45,    966.20,     0.15265,          2.689
      5,      38.5,     13.45,    966.20,     0.15265,          2.689
      5,      38.5,     13.45,    966.20,     0.15265,          2.689
      5,      38.5,     13.45,    966.20,     0.15265,          2.689
      5,      38.5,     13.65,    952.03,     0.14190,          2.730
      5,      38.5,     13.65,    952.03,     0.14190,          2.730
      5,      38.5,     13.65,    952.03,     0.14190,          2.730
      5,      38.5,     13.65,    952.03,     0.14190,          2.730
      5,      38.5,     13.15,    987.91,     0.15265,          2.631
      5,      38.5,     13.15,    987.91,     0.15265,          2.631
      5,      38.5,     13.15,    987.91,     0.15265,          2.631
      5,      38.5,     13.15,    987.91,     0.15265,          2.631
      5,      38.5,     13.37,    971.76,     0.07677,          2.674
      5,      38.5,     13.15,    987.91,     0.15265,          2.631
      5,      38.5,     13.15,    987.91,     0.15265,          2.631
      5,      38.5,     13.15,    987.91,     0.15265,          2.631
      5,      38.5,     13.15,    987.91,     0.15265,          2.631
      5,      38.5,     13.15,    987.91,     0.15265,          2.631
      5,      38.5,     13.15,    987.91,     0.15265,          2.631
      5,      38.5,     13.15,    987.91,     0.15265,          2.631
      5,      38.5,     13.15,    987.91,     0.15265,          2.631
      5,      38.5,     13.15,    987.91,     0.15265,          2.631
      5,      38.5,     13.15,    987.91,     0.15265,          2.631
      5,      38.5,     13.15,    987.91,     0.15265,          2.631
      5,      38.5,     13.15,    987.91,     0.15265,          2.631
      5,      38.5,     13.65,    952.03,     0.14190,          2.730
      5,      38.5,     13.65,    952.03,     0.14190,          2.730
      5,      38.5,     13.65,    952.03,     0.14190,          2.730
      5,      38.5,     13.45,    966.20,     0.14190,          2.689
      5,      38.5,     13.25,    980.72,     0.15265,          2.649
      5,      38.5,     13.25,    980.72,     0.15265,          2.649
      5,      38.5,     13.25,    980.72,     0.15265,          2.649
      5,      38.5,     13.74,    945.49,     0.14190,          2.748
      5,      38.5,     13.25,    980.88,     0.15265,          2.649
      5,      38.5,     12.95,   1004.13,     0.16515,          2.591
      5,      38.5,     13.25,    982.17,     0.15265,          2.649
      5,      38.5,     13.25,    982.17,     0.15265,          2.649
      5,      38.5,     13.25,    982.17,     0.15265,          2.649
      5,      38.5,     13.74,    946.82,     0.14190,          2.748
      5,      38.5,     13.54,    960.88,     0.15265,          2.708
      5,      38.5,     13.25,    982.00,     0.15265,          2.649
      5,      38.5,     13.74,    946.82,     0.14190,          2.748
      5,      38.5,     13.54,    961.04,     0.22680,          2.708
      5,      38.5,     13.54,    961.04,     0.22680,          2.708
      5,      38.5,     13.54,    961.04,     0.22680,          2.708
      5,      38.5,     13.34,    975.22,     0.22680,          2.668
      5,      38.5,     13.47,    965.82,     0.22680,          2.694
      5,      38.5,     13.34,    975.05,     0.22680,          2.668
      5,      38.5,     13.83,    940.49,     0.22680,          2.766
      5,      38.5,     12.86,   1011.76,     0.22680,          2.571
      5,      38.5,     13.36,    973.53,     0.29850,          2.672
      5,      38.5,     13.60,    956.43,     0.29850,          2.720
      5,      38.5,     13.65,    952.98,     0.22680,          2.730
      5,      38.5,     13.47,    965.58,     0.21109,          2.695
      5,      38.5,     13.65,    952.98,     0.21109,          2.730
      5,      38.5,     13.65,    952.98,     0.21109,          2.730
      5,      38.5,     13.47,    965.65,     0.29850,          2.694
      5,      38.5,     13.30,    978.39,     0.29850,          2.660
      5,      38.5,     13.60,    956.76,     0.29850,          2.720
      5,      38.5,     13.62,    955.65,     0.27830,          2.724
      5,      38.5,     13.30,    978.75,     0.29850,          2.660
      5,      38.5,     13.30,    978.75,     0.29850,          2.660
      5,      38.5,     13.45,    967.89,     0.29850,          2.689
      5,      38.5,     13.45,    967.89,     0.29850,          2.689
      5,      38.5,     13.45,    967.89,     0.29850,          2.689
      5,      38.5,     13.60,    956.76,     0.29850,          2.720
      5,      38.5,     13.60,    956.76,     0.29850,          2.720
      5,      38.5,     13.60,    956.76,     0.29850,          2.720
      5,      38.5,     13.13,    991.30,     0.32175,          2.625
      5,      38.5,     13.13,    991.30,     0.32175,          2.625
      5,      38.5,     13.13,    991.30,     0.32175,          2.625
      5,      38.5,     13.60,    956.76,     0.29850,          2.720
      5,      38.5,     13.45,    967.89,     0.29850,          2.689
      5,      38.5,     13.13,    991.66,     0.29850,          2.625
      5,      38.5,     13.45,    968.26,     0.29850,          2.689
      5,      38.5,     13.45,    968.26,     0.29850,          2.689
      5,      38.5,     13.13,    991.86,     0.29850,          2.625
      5,      38.5,     13.45,    968.26,     0.36717,          2.689
      5,      38.5,     13.45,    968.26,     0.36717,          2.689
      5,      38.5,     13.60,    957.13,     0.29850,          2.720
      5,      38.5,     13.60,    957.13,     0.29850,          2.720
      5,      38.5,     13.45,    968.26,     0.36717,          2.689
      5,      38.5,     13.76,    945.77,     0.36717,          2.753
      5,      38.5,     13.45,    968.26,     0.36717,          2.689
      5,      38.5,     13.29,    979.21,     0.36717,          2.659
      5,      38.5,     12.83,   1014.96,     0.39479,          2.565
      5,      38.5,     13.14,    990.42,     0.39479,          2.629
      5,      38.5,     13.29,    979.21,     0.36717,          2.659
      5,      38.5,     13.45,    968.26,     0.29850,          2.689
      5,      38.5,     13.61,    956.02,     0.29850,          2.723
      5,      38.5,     13.29,    979.02,     0.29850,          2.659
      5,      38.5,     13.61,    955.84,     0.29850,          2.723
      5,      38.5,     13.61,    955.84,     0.29850,          2.723
      5,      38.5,     13.45,    967.89,     0.29850,          2.689
      5,      38.5,     13.29,    978.84,     0.36717,          2.659
      5,      38.5,     13.29,    978.84,     0.36717,          2.659
      5,      38.5,     13.29,    978.84,     0.36717,          2.659
      5,      38.5,     13.61,    955.84,     0.36717,          2.723
      5,      38.5,     13.61,    955.84,     0.36717,          2.723
      5,      38.5,     13.29,    978.84,     0.36717,          2.659
      5,      38.5,     13.29,    978.84,     0.36717,          2.659
      5,      38.5,     13.45,    967.89,     0.36717,          2.689
      5,      38.5,     13.29,    978.66,     0.39479,          2.659
      5,      38.5,     13.29,    978.66,     0.39479,          2.659
      5,      38.5,     13.29,    978.66,     0.39479,          2.659
      5,      38.5,     13.29,    978.66,     0.39479,          2.659
      5,      38.5,     13.29,    978.66,     0.39479,          2.659
      5,      38.5,     13.61,    955.67,     0.39479,          2.723
