= RESTART: D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\find_alpha_routine.py
---------------------------------------------------------------------
N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Alpha [px/bit]
      5,      38.5,     12.37,   1050.60,     1.32582,          2.474
      5,      38.5,     12.37,   1050.60,     1.32582,          2.474
      5,      38.5,     12.37,   1050.60,     1.32582,          2.474
      5,      38.5,     12.37,   1050.60,     1.32582,          2.474
      5,      38.5,     12.56,   1034.53,     1.32582,          2.512
      5,      38.5,     12.56,   1034.53,     1.32582,          2.512
      5,      38.5,     12.56,   1034.53,     1.32582,          2.512
      5,      38.5,     12.37,   1050.60,     1.32582,          2.474
      5,      38.5,     12.56,   1034.53,     1.32582,          2.512
      5,      38.5,     12.37,   1050.60,     1.32582,          2.474
      5,      38.5,     12.37,   1050.60,     1.32582,          2.474
      5,      38.5,     12.37,   1050.60,     1.32582,          2.474
      5,      38.5,     12.56,   1034.53,     1.34400,          2.512
      5,      38.5,     12.56,   1034.53,     1.34400,          2.512
      5,      38.5,     13.16,    987.21,     1.34400,          2.633
      5,      38.5,     13.16,    987.21,     1.34400,          2.633
      5,      38.5,     13.16,    987.21,     1.34400,          2.633
      5,      38.5,     13.16,    987.21,     1.34400,          2.633
      5,      38.5,     12.86,   1010.86,     1.34400,          2.571
      5,      38.5,     13.16,    987.21,     1.34400,          2.633
      5,      38.5,     13.16,    987.21,     1.34400,          2.633
      5,      38.5,     13.16,    987.21,     1.34400,          2.633
      5,      38.5,     13.16,    987.21,     1.34400,          2.633
      5,      38.5,     13.16,    987.21,     1.34400,          2.633
      5,      38.5,     13.16,    987.21,     1.34400,          2.633
      5,      38.5,     13.16,    987.21,     1.34400,          2.633
      5,      38.5,     12.86,   1010.86,     1.34400,          2.571
      5,      38.5,     12.86,   1010.86,     1.34400,          2.571
      5,      38.5,     13.05,    995.69,     1.34400,          2.610
      5,      38.5,     13.05,    995.69,     1.34400,          2.610
      5,      38.5,     13.05,    995.69,     1.34400,          2.610
      5,      38.5,     13.05,    995.69,     1.34400,          2.610
      5,      38.5,     13.05,    995.69,     1.34400,          2.610
      5,      38.5,     13.05,    995.69,     1.34400,          2.610
      5,      38.5,     13.15,    988.00,     1.41815,          2.631
      5,      38.5,     13.15,    988.00,     1.41815,          2.631
      5,      38.5,     13.15,    988.00,     1.41815,          2.631
      5,      38.5,     13.15,    988.00,     1.41815,          2.631
      5,      38.5,     13.15,    988.00,     1.41815,          2.631
      5,      38.5,     13.15,    988.00,     1.41815,          2.631
      5,      38.5,     13.15,    988.00,     1.41815,          2.631
      5,      38.5,     13.15,    988.00,     1.41815,          2.631
      5,      38.5,     13.15,    988.00,     1.41815,          2.631
      5,      38.5,     13.15,    988.00,     1.41815,          2.631
      5,      38.5,     13.15,    988.00,     1.41815,          2.631
      5,      38.5,     13.15,    988.00,     1.41815,          2.631
      5,      38.5,     13.37,    971.85,     1.42890,          2.674
      5,      38.5,     13.25,    981.03,     1.42890,          2.650
      5,      38.5,     13.25,    981.03,     1.42890,          2.650
      5,      38.5,     13.37,    971.85,     1.42890,          2.674
      5,      38.5,     13.37,    971.85,     1.42890,          2.674
      5,      38.5,     13.25,    981.03,     1.42890,          2.650
      5,      38.5,     13.45,    966.37,     1.42890,          2.689
      5,      38.5,     13.45,    966.37,     1.42890,          2.689
      5,      38.5,     13.45,    966.37,     1.42890,          2.689
      5,      38.5,     13.45,    966.37,     1.42890,          2.689
      5,      38.5,     13.45,    966.37,     1.42890,          2.689
      5,      38.5,     13.45,    966.37,     1.42890,          2.689
      5,      38.5,     13.56,    958.38,     1.42890,          2.712
      5,      38.5,     13.45,    966.37,     1.41815,          2.689
      5,      38.5,     13.45,    966.37,     1.41815,          2.689
      5,      38.5,     13.45,    966.37,     1.41815,          2.689
      5,      38.5,     13.15,    988.00,     1.41815,          2.631
      5,      38.5,     13.45,    966.37,     1.42890,          2.689
      5,      38.5,     13.45,    966.37,     1.42890,          2.689
      5,      38.5,     13.15,    988.00,     1.41815,          2.631
      5,      38.5,     13.15,    988.00,     1.41815,          2.631
      5,      38.5,     13.05,    995.69,     1.34400,          2.610
      5,      38.5,     12.86,   1010.86,     1.34400,          2.571
      5,      38.5,     12.86,   1010.86,     1.34400,          2.571
      5,      38.5,     12.56,   1034.53,     1.34400,          2.512
      5,      38.5,     12.86,   1010.86,     1.34400,          2.571
      5,      38.5,     13.16,    987.21,     1.34400,          2.633
      5,      38.5,     13.16,    987.21,     1.34400,          2.633
      5,      38.5,     12.37,   1050.60,     1.32582,          2.474
      5,      38.5,     12.37,   1050.60,     1.32582,          2.474
      5,      38.5,     12.68,   1024.66,     1.32582,          2.536
      5,      38.5,     13.16,    987.21,     1.34400,          2.633
      5,      38.5,     13.16,    987.21,     1.34400,          2.633
      5,      38.5,     13.16,    987.21,     1.34400,          2.633
      5,      38.5,     13.16,    987.21,     1.34400,          2.633
      5,      38.5,     12.99,   1000.37,     1.32582,          2.598
      5,      38.5,     13.30,    977.19,     1.34400,          2.660
      5,      38.5,     13.30,    977.19,     1.34400,          2.660
      5,      38.5,     12.82,   1013.88,     1.32582,          2.563
      5,      38.5,     12.97,   1001.56,     1.27230,          2.595
      5,      38.5,     12.97,   1001.56,     1.27230,          2.595
      5,      38.5,     13.13,    990.08,     1.27230,          2.625
      5,      38.5,     13.13,    990.08,     1.27230,          2.625
      5,      38.5,     13.13,    990.08,     1.27230,          2.625
      5,      38.5,     12.82,   1013.88,     1.27230,          2.563
      5,      38.5,     12.82,   1013.88,     1.27230,          2.563
      5,      38.5,     12.82,   1013.88,     1.27230,          2.563
      5,      38.5,     12.82,   1013.88,     1.27230,          2.563
      5,      38.5,     12.82,   1013.88,     1.27230,          2.563
      5,      38.5,     12.82,   1013.88,     1.27230,          2.563
      5,      38.5,     12.82,   1013.88,     1.27230,          2.563
      5,      38.5,     12.82,   1013.88,     1.24905,          2.563
      5,      38.5,     12.82,   1013.88,     1.24905,          2.563
      5,      38.5,     13.13,    990.08,     1.27230,          2.625
      5,      38.5,     13.13,    990.08,     1.27230,          2.625
      5,      38.5,     13.13,    990.08,     1.27230,          2.625
      5,      38.5,     13.13,    990.08,     1.27230,          2.625
      5,      38.5,     13.13,    990.08,     1.27230,          2.625
      5,      38.5,     13.13,    990.08,     1.27230,          2.625
      5,      38.5,     13.13,    990.08,     1.27230,          2.625
      5,      38.5,     13.13,    990.08,     1.27230,          2.625
      5,      38.5,     13.45,    966.53,     1.27230,          2.689
      5,      38.5,     12.50,   1039.46,     1.17601,          2.500
      5,      38.5,     13.14,    988.56,     1.20362,          2.629
      5,      38.5,     13.14,    988.56,     1.20362,          2.629
      5,      38.5,     13.14,    988.56,     1.20362,          2.629
      5,      38.5,     13.14,    988.56,     1.20362,          2.629
      5,      38.5,     13.14,    988.56,     1.20362,          2.629
      5,      38.5,     13.14,    988.56,     1.20362,          2.629
      5,      38.5,     13.00,    999.53,     1.17601,          2.600
      5,      38.5,     13.00,    999.53,     1.17601,          2.600
      5,      38.5,     13.00,    999.53,     1.17601,          2.600
      5,      38.5,     13.14,    988.65,     1.24905,          2.629
      5,      38.5,     13.14,    988.65,     1.24905,          2.629
      5,      38.5,     13.46,    965.07,     1.20362,          2.693
      5,      38.5,     13.46,    965.07,     1.20362,          2.693
      5,      38.5,     13.00,    999.53,     1.17601,          2.600
      5,      38.5,     13.34,    974.34,     1.17601,          2.667
      5,      38.5,     13.21,    983.57,     1.14417,          2.642
      5,      38.5,     13.35,    972.99,     1.14417,          2.671
      5,      38.5,     13.15,    987.89,     1.14417,          2.631
      5,      38.5,     13.21,    983.78,     1.10715,          2.642
      5,      38.5,     13.21,    983.78,     1.10715,          2.642
      5,      38.5,     13.21,    983.78,     1.10715,          2.642
      5,      38.5,     13.54,    959.84,     1.13839,          2.708
      5,      38.5,     13.54,    959.84,     1.13839,          2.708
      5,      38.5,     13.54,    959.84,     1.13839,          2.708
      5,      38.5,     13.42,    968.51,     1.10715,          2.683
      5,      38.5,     13.42,    968.51,     1.10715,          2.683
      5,      38.5,     13.42,    968.51,     1.10715,          2.683
      5,      38.5,     13.42,    968.51,     1.10715,          2.683
      5,      38.5,     13.42,    968.51,     1.10715,          2.683
      5,      38.5,     13.42,    968.51,     1.10715,          2.683
      5,      38.5,     13.42,    968.51,     1.10715,          2.683
      5,      38.5,     13.42,    968.51,     1.10715,          2.683
      5,      38.5,     13.09,    992.61,     1.17601,          2.618
      5,      38.5,     13.21,    983.50,     1.17601,          2.642
      5,      38.5,     13.21,    983.50,     1.17601,          2.642
      5,      38.5,     13.21,    983.50,     1.17601,          2.642
      5,      38.5,     13.09,    992.61,     1.07145,          2.618
      5,      38.5,     13.09,    992.61,     1.07145,          2.618
      5,      38.5,     13.31,    975.89,     1.04272,          2.663
      5,      38.5,     13.31,    975.89,     1.04272,          2.663
      5,      38.5,     13.31,    975.89,     1.10715,          2.663
      5,      38.5,     12.76,   1018.46,     1.10715,          2.551
      5,      38.5,     12.64,   1027.93,     1.07145,          2.528
      5,      38.5,     13.31,    975.89,     1.10715,          2.663
      5,      38.5,     13.31,    975.89,     1.10715,          2.663
      5,      38.5,     13.31,    975.89,     1.10715,          2.663
      5,      38.5,     13.31,    975.89,     1.10715,          2.663
      5,      38.5,     12.88,   1009.14,     1.04272,          2.575
      5,      38.5,     13.42,    968.43,     1.10715,          2.683
      5,      38.5,     13.42,    968.43,     1.10715,          2.683
      5,      38.5,     13.42,    968.43,     1.10715,          2.683
      5,      38.5,     13.31,    975.89,     1.10715,          2.663
      5,      38.5,     13.42,    968.43,     1.10715,          2.683
      5,      38.5,     13.22,    982.87,     1.07145,          2.644
      5,      38.5,     13.22,    982.80,     1.04272,          2.644
      5,      38.5,     13.22,    982.80,     1.04272,          2.644
      5,      38.5,     13.22,    982.80,     1.04272,          2.644
      5,      38.5,     13.12,    989.87,     1.00407,          2.625
      5,      38.5,     13.56,    958.11,     1.04272,          2.712
      5,      38.5,     13.56,    958.11,     1.04272,          2.712
      5,      38.5,     13.22,    982.80,     1.04272,          2.644
      5,      38.5,     13.56,    958.11,     1.04272,          2.712
      5,      38.5,     13.47,    964.83,     1.00407,          2.693
      5,      38.5,     13.47,    964.83,     1.00407,          2.693
      5,      38.5,     13.47,    964.83,     1.00407,          2.693
      5,      38.5,     13.47,    964.83,     1.00407,          2.693
      5,      38.5,     12.88,   1008.79,     1.07145,          2.576
      5,      38.5,     12.44,   1044.36,     1.03038,          2.488
      5,      38.5,     13.39,    970.07,     0.94200,          2.679
      5,      38.5,     13.39,    970.07,     1.04272,          2.679
      5,      38.5,     13.39,    970.07,     1.04272,          2.679
      5,      38.5,     13.39,    970.07,     1.04272,          2.679
      5,      38.5,     13.39,    970.07,     1.04272,          2.679
      5,      38.5,     13.74,    945.65,     1.04272,          2.748
      5,      38.5,     13.74,    945.65,     1.00407,          2.748
      5,      38.5,     12.97,   1001.53,     0.96007,          2.594
      5,      38.5,     12.97,   1001.47,     1.00407,          2.594
      5,      38.5,     13.33,    974.79,     1.00407,          2.665
      5,      38.5,     12.97,   1001.47,     1.00407,          2.594
      5,      38.5,     12.97,   1001.47,     1.00407,          2.594
      5,      38.5,     13.04,    996.31,     1.00407,          2.608
      5,      38.5,     12.97,   1001.42,     0.94200,          2.594
      5,      38.5,     12.62,   1029.09,     1.00407,          2.524
      5,      38.5,     12.97,   1001.42,     0.94200,          2.594
      5,      38.5,     12.91,   1005.92,     0.94200,          2.583
      5,      38.5,     13.56,    958.31,     0.94200,          2.711
      5,      38.5,     13.26,    979.47,     0.94200,          2.652
      5,      38.5,     12.97,   1001.42,     0.94200,          2.594
      5,      38.5,     13.56,    958.26,     0.88507,          2.711
      5,      38.5,     12.56,   1033.80,     1.00407,          2.513
      5,      38.5,     12.97,   1001.38,     1.00407,          2.594
      5,      38.5,     13.26,    979.43,     0.94200,          2.652
      5,      38.5,     13.56,    958.26,     0.88507,          2.711
      5,      38.5,     12.51,   1038.08,     0.89606,          2.503
      5,      38.5,     12.91,   1005.97,     0.89606,          2.583
      5,      38.5,     12.91,   1005.97,     0.89606,          2.583
      5,      38.5,     12.56,   1033.89,     0.96007,          2.513
      5,      38.5,     13.22,    982.88,     0.88507,          2.643
      5,      38.5,     13.17,    986.54,     0.83798,          2.633
      5,      38.5,     13.17,    986.54,     0.83798,          2.633
      5,      38.5,     13.17,    986.65,     0.88507,          2.633
      5,      38.5,     13.17,    986.65,     0.88507,          2.633
      5,      38.5,     12.78,   1016.70,     0.89606,          2.555
      5,      38.5,     13.14,    988.74,     0.89606,          2.628
      5,      38.5,     12.76,   1018.32,     0.84415,          2.551
      5,      38.5,     13.11,    990.90,     0.89606,          2.622
      5,      38.5,     13.11,    990.90,     0.89606,          2.622
      5,      38.5,     12.81,   1014.43,     0.89606,          2.561
      5,      38.5,     13.44,    966.35,     0.78540,          2.689
      5,      38.5,     12.76,   1018.32,     0.83798,          2.551
      5,      38.5,     13.09,    992.38,     0.73282,          2.618
      5,      38.5,     13.11,    990.90,     0.67474,          2.622
      5,      38.5,     13.09,    992.38,     0.83798,          2.618
      5,      38.5,     13.46,    964.98,     0.73282,          2.693
      5,      38.5,     12.78,   1016.70,     0.67474,          2.555
      5,      38.5,     13.47,    964.23,     0.68573,          2.694
      5,      38.5,     13.45,    965.56,     0.73282,          2.691
      5,      38.5,     13.45,    965.56,     0.73282,          2.691
      5,      38.5,     13.45,    965.56,     0.73282,          2.691
      5,      38.5,     13.11,    990.84,     0.73282,          2.622
      5,      38.5,     12.81,   1014.37,     0.67474,          2.561
      5,      38.5,     12.81,   1014.37,     0.67474,          2.561
      5,      38.5,     12.76,   1018.21,     0.67474,          2.551
      5,      38.5,     13.48,    963.52,     0.67474,          2.696
      5,      38.5,     12.86,   1010.40,     0.62880,          2.571
      5,      38.5,     13.17,    986.47,     0.67474,          2.633
      5,      38.5,     12.91,   1005.83,     0.61073,          2.583
      5,      38.5,     13.56,    958.17,     0.62880,          2.711
      5,      38.5,     13.26,    979.37,     0.62880,          2.652
      5,      38.5,     12.86,   1010.37,     0.62880,          2.571
      5,      38.5,     12.28,   1057.84,     0.56673,          2.456
      5,      38.5,     13.33,    974.71,     0.62880,          2.665
      5,      38.5,     13.60,    954.92,     0.62880,          2.720
      5,      38.5,     13.32,    975.10,     0.56673,          2.664
      5,      38.5,     12.62,   1029.00,     0.56673,          2.524
      5,      38.5,     12.91,   1005.82,     0.56673,          2.583
      5,      38.5,     13.26,    979.37,     0.62880,          2.652
      5,      38.5,     13.32,    975.10,     0.56673,          2.664
      5,      38.5,     13.04,    996.16,     0.56673,          2.608
      5,      38.5,     13.12,    989.60,     0.49935,          2.625
      5,      38.5,     13.12,    989.60,     0.56673,          2.625
      5,      38.5,     13.12,    989.60,     0.56673,          2.625
      5,      38.5,     13.47,    964.58,     0.52807,          2.693
      5,      38.5,     13.04,    996.17,     0.56673,          2.608
      5,      38.5,     12.70,   1022.47,     0.49935,          2.541
      5,      38.5,     13.22,    982.59,     0.56673,          2.644
      5,      38.5,     13.48,    963.41,     0.49394,          2.697
      5,      38.5,     12.78,   1016.12,     0.49935,          2.557
      5,      38.5,     12.88,   1008.72,     0.46365,          2.576
      5,      38.5,     13.31,    975.70,     0.46365,          2.663
      5,      38.5,     13.22,    982.68,     0.46365,          2.644
      5,      38.5,     13.31,    975.70,     0.46365,          2.663
      5,      38.5,     13.09,    992.28,     0.46365,          2.618
      5,      38.5,     13.42,    968.19,     0.46365,          2.683
      5,      38.5,     13.42,    968.19,     0.46365,          2.683
      5,      38.5,     13.76,    943.96,     0.43241,          2.752
      5,      38.5,     13.42,    968.19,     0.46365,          2.683
      5,      38.5,     13.21,    983.45,     0.39479,          2.642
      5,      38.5,     13.00,    999.25,     0.39479,          2.600
      5,      38.5,     13.00,    999.25,     0.39479,          2.600
      5,      38.5,     12.87,   1008.97,     0.39479,          2.575
      5,      38.5,     13.21,    983.35,     0.36717,          2.642
      5,      38.5,     13.21,    983.35,     0.36717,          2.642
      5,      38.5,     12.87,   1009.02,     0.46365,          2.575
      5,      38.5,     13.00,    999.38,     0.39479,          2.600
      5,      38.5,     13.00,    999.38,     0.39479,          2.600
      5,      38.5,     13.34,    974.18,     0.39479,          2.667
      5,      38.5,     13.48,    963.75,     0.46365,          2.696
      5,      38.5,     13.02,    997.97,     0.46365,          2.604
      5,      38.5,     12.97,   1001.38,     0.39479,          2.595
      5,      38.5,     13.00,    999.53,     0.39479,          2.600
      5,      38.5,     13.29,    977.38,     0.32175,          2.659
      5,      38.5,     13.45,    966.53,     0.29850,          2.689
      5,      38.5,     13.29,    977.47,     0.29850,          2.659
      5,      38.5,     13.61,    954.50,     0.29850,          2.723
      5,      38.5,     13.29,    977.56,     0.36717,          2.659
      5,      38.5,     12.97,   1001.66,     0.39479,          2.595
      5,      38.5,     12.65,   1027.57,     0.32175,          2.530
      5,      38.5,     13.13,    990.41,     0.29850,          2.625
      5,      38.5,     13.13,    990.41,     0.29850,          2.625
      5,      38.5,     13.60,    955.86,     0.29850,          2.720
      5,      38.5,     13.30,    977.64,     0.32175,          2.660
      5,      38.5,     13.30,    977.77,     0.29850,          2.660
      5,      38.5,     13.60,    955.99,     0.29850,          2.720
      5,      38.5,     13.60,    956.13,     0.29850,          2.720
      5,      38.5,     13.30,    978.06,     0.29850,          2.660
      5,      38.5,     13.16,    988.25,     0.24498,          2.633
      5,      38.5,     13.16,    988.42,     0.22680,          2.633
      5,      38.5,     13.05,    997.09,     0.22680,          2.610
      5,      38.5,     13.34,    975.58,     0.22680,          2.668
      5,      38.5,     13.36,    974.16,     0.14190,          2.673
      5,      38.5,     13.54,    961.78,     0.21109,          2.708
      5,      38.5,     13.34,    975.97,     0.22680,          2.668
      5,      38.5,     13.05,    997.89,     0.24498,          2.610
      5,      38.5,     13.34,    976.40,     0.22680,          2.668
      5,      38.5,     13.25,    983.58,     0.22680,          2.649
      5,      38.5,     13.54,    962.42,     0.21109,          2.708
      5,      38.5,     12.27,   1061.56,     0.26625,          2.454
      5,      38.5,     13.15,    989.58,     0.15265,          2.631
      5,      38.5,     13.45,    967.55,     0.15265,          2.689
      5,      38.5,     13.45,    967.55,     0.15265,          2.689
      5,      38.5,     13.25,    982.17,     0.15265,          2.649
      5,      38.5,     13.15,    989.39,     0.15265,          2.631
      5,      38.5,     13.15,    989.58,     0.15265,          2.631
      5,      38.5,     13.15,    989.58,     0.15265,          2.631
      5,      38.5,     13.37,    973.39,     0.14190,          2.674
      5,      38.5,     13.10,    993.90,     0.15265,          2.619
      5,      38.5,     13.32,    977.25,     0.15265,          2.663
      5,      38.5,     13.59,    957.41,     0.14190,          2.718
      5,      38.5,     13.32,    977.07,     0.07677,          2.663
      5,      38.5,     12.28,   1058.90,     0.09066,          2.456
      5,      38.5,     13.04,    997.01,     0.07677,          2.608
      5,      38.5,     13.28,    978.90,     0.07677,          2.656
      5,      38.5,     13.04,    996.89,     0.07677,          2.608
      5,      38.5,     13.52,    961.60,     0.00000,          2.704
      5,      38.5,     13.28,    979.01,     0.07131,          2.656
      5,      38.5,     13.26,    980.26,     0.00000,          2.652
      5,      38.5,     13.00,   1000.52,     0.00000,          2.600
      5,      38.5,     13.00,   1001.62,     0.00000,          2.600
      5,      38.5,     13.26,    982.22,     0.00000,          2.652
      5,      38.5,     13.02,   1000.14,     0.00000,          2.604
      5,      38.5,     13.00,   1001.84,     0.00000,          2.600
      5,      38.5,     13.00,   1002.06,     0.00000,          2.600
      5,      38.5,     12.76,   1020.71,     0.00000,          2.552
      5,      38.5,     13.00,   1001.62,     0.00000,          2.600
      5,      38.5,     12.52,   1039.81,    -0.08314,          2.504
      5,      38.5,     12.50,   1041.47,     0.00000,          2.500
      5,      38.5,     12.50,   1041.47,     0.00000,          2.500
      5,      38.5,     12.50,   1041.47,     0.00000,          2.500
      5,      38.5,     12.50,   1041.47,     0.00000,          2.500
      5,      38.5,     12.76,   1020.28,    -0.07677,          2.552
      5,      38.5,     12.76,   1020.28,    -0.07677,          2.552
      5,      38.5,     12.76,   1020.28,    -0.07677,          2.552
      5,      38.5,     12.76,   1020.28,    -0.07677,          2.552
      5,      38.5,     12.76,   1020.28,    -0.07677,          2.552
      5,      38.5,     12.76,   1020.28,    -0.07677,          2.552
      5,      38.5,     12.76,   1020.28,    -0.07677,          2.552
      5,      38.5,     12.76,   1020.08,    -0.07677,          2.552
      5,      38.5,     13.00,   1001.03,     0.00000,          2.600
      5,      38.5,     13.00,   1001.03,     0.00000,          2.600
      5,      38.5,     13.00,   1001.03,     0.00000,          2.600
      5,      38.5,     13.00,   1001.03,     0.00000,          2.600
      5,      38.5,     13.00,   1001.03,     0.00000,          2.600
      5,      38.5,     13.00,   1001.03,     0.00000,          2.600
      5,      38.5,     12.76,   1019.89,    -0.07677,          2.552
      5,      38.5,     12.76,   1019.89,    -0.07677,          2.552
      5,      38.5,     13.00,   1001.03,     0.00000,          2.600
      5,      38.5,     13.00,   1001.03,     0.00000,          2.600
      5,      38.5,     13.00,   1001.03,     0.00000,          2.600
      5,      38.5,     12.76,   1019.89,    -0.07677,          2.552
      5,      38.5,     13.00,   1001.03,     0.00000,          2.600
      5,      38.5,     13.00,   1001.03,     0.00000,          2.600
      5,      38.5,     13.00,   1001.03,     0.00000,          2.600
      5,      38.5,     13.00,   1001.03,     0.00000,          2.600
      5,      38.5,     12.76,   1019.89,    -0.07677,          2.552
      5,      38.5,     13.00,   1001.03,     0.00000,          2.600
      5,      38.5,     13.00,   1001.03,     0.00000,          2.600
      5,      38.5,     12.76,   1019.71,    -0.07677,          2.552
      5,      38.5,     13.00,   1000.68,     0.00000,          2.600
      5,      38.5,     13.00,   1000.68,     0.00000,          2.600
      5,      38.5,     12.76,   1019.53,    -0.07677,          2.552
      5,      38.5,     12.76,   1019.53,    -0.07677,          2.552
      5,      38.5,     12.76,   1019.53,    -0.07677,          2.552
      5,      38.5,     12.76,   1019.53,    -0.07677,          2.552
      5,      38.5,     12.76,   1019.53,    -0.07677,          2.552
      5,      38.5,     12.76,   1019.53,    -0.07677,          2.552
      5,      38.5,     12.76,   1019.53,    -0.07677,          2.552
      5,      38.5,     12.76,   1019.53,    -0.07677,          2.552
      5,      38.5,     12.76,   1019.53,    -0.07677,          2.552
      5,      38.5,     12.76,   1019.53,    -0.07677,          2.552
      5,      38.5,     12.76,   1019.53,    -0.07677,          2.552
      5,      38.5,     12.76,   1019.53,    -0.07677,          2.552
      5,      38.5,     12.76,   1019.53,    -0.07677,          2.552
      5,      38.5,     12.26,   1061.04,     0.00000,          2.452
      5,      38.5,     12.26,   1061.04,     0.00000,          2.452
      5,      38.5,     12.26,   1061.04,     0.00000,          2.452
      5,      38.5,     12.26,   1061.04,     0.00000,          2.452
      5,      38.5,     12.26,   1061.04,     0.00000,          2.452
      5,      38.5,     12.26,   1061.04,     0.00000,          2.452
      5,      38.5,     12.76,   1019.53,    -0.07677,          2.552
      5,      38.5,     12.76,   1019.53,    -0.07677,          2.552
      5,      38.5,     13.02,    999.20,    -0.07677,          2.604
      5,      38.5,     12.52,   1039.22,    -0.07677,          2.504
      5,      38.5,     12.50,   1041.07,     0.00000,          2.500
      5,      38.5,     12.52,   1039.60,    -0.07677,          2.504
      5,      38.5,     12.00,   1084.87,     0.00000,          2.400
      5,      38.5,     12.78,   1018.69,    -0.07677,          2.556
      5,      38.5,     12.52,   1040.02,    -0.07677,          2.504
      5,      38.5,     12.76,   1020.49,    -0.07677,          2.552
      5,      38.5,     12.00,   1084.87,     0.00000,          2.400
      5,      38.5,     12.78,   1018.69,    -0.07677,          2.556
      5,      38.5,     12.78,   1018.69,    -0.07677,          2.556
      5,      38.5,     12.52,   1040.02,    -0.07677,          2.504
      5,      38.5,     12.00,   1084.87,     0.00000,          2.400
      5,      38.5,     12.00,   1084.87,     0.00000,          2.400
      5,      38.5,     12.00,   1084.87,     0.00000,          2.400
      5,      38.5,     12.50,   1041.47,     0.00000,          2.500
      5,      38.5,     12.50,   1041.47,     0.00000,          2.500
      5,      38.5,     12.00,   1084.87,     0.00000,          2.400
      5,      38.5,     12.00,   1084.87,     0.00000,          2.400
      5,      38.5,     12.00,   1084.87,     0.00000,          2.400
      5,      38.5,     12.00,   1084.87,     0.00000,          2.400
      5,      38.5,     12.00,   1084.87,     0.00000,          2.400
      5,      38.5,     12.52,   1039.81,    -0.08314,          2.504
      5,      38.5,     12.50,   1041.47,     0.00000,          2.500
      5,      38.5,     12.50,   1041.47,     0.00000,          2.500
      5,      38.5,     12.50,   1041.47,     0.00000,          2.500
      5,      38.5,     12.50,   1041.47,     0.00000,          2.500
      5,      38.5,     12.00,   1084.65,     0.00000,          2.400
      5,      38.5,     12.00,   1084.65,     0.00000,          2.400
      5,      38.5,     12.52,   1039.54,     0.00000,          2.504
      5,      38.5,     12.52,   1039.54,    -0.08314,          2.504
      5,      38.5,     12.52,   1039.81,    -0.08314,          2.504
      5,      38.5,     12.76,   1020.49,    -0.07677,          2.552
      5,      38.5,     12.76,   1020.49,    -0.07677,          2.552
      5,      38.5,     13.00,   1001.62,     0.00000,          2.600
      5,      38.5,     13.00,   1001.62,     0.00000,          2.600
      5,      38.5,     13.00,   1001.62,     0.00000,          2.600
      5,      38.5,     13.00,   1001.62,     0.00000,          2.600
      5,      38.5,     13.00,   1001.62,     0.00000,          2.600
      5,      38.5,     12.76,   1020.49,     0.00000,          2.552
      5,      38.5,     12.76,   1020.49,     0.00000,          2.552
      5,      38.5,     13.02,    999.94,     0.00000,          2.604
      5,      38.5,     12.76,   1020.28,     0.00000,          2.552
      5,      38.5,     12.76,   1020.28,     0.00000,          2.552
      5,      38.5,     13.00,   1001.42,     0.00000,          2.600
      5,      38.5,     13.00,   1001.42,     0.00000,          2.600
      5,      38.5,     13.00,   1001.42,     0.00000,          2.600
      5,      38.5,     13.00,   1001.42,     0.00000,          2.600
      5,      38.5,     13.00,   1001.42,     0.00000,          2.600
      5,      38.5,     12.76,   1020.08,     0.00000,          2.552
      5,      38.5,     13.02,    999.74,     0.00000,          2.604
      5,      38.5,     13.02,    999.74,     0.00000,          2.604
      5,      38.5,     13.02,    999.74,     0.00000,          2.604
      5,      38.5,     12.28,   1059.89,     0.07677,          2.456
      5,      38.5,     13.00,   1001.22,     0.00000,          2.600
      5,      38.5,     13.00,   1001.22,     0.00000,          2.600
      5,      38.5,     12.76,   1019.89,     0.00000,          2.552
      5,      38.5,     12.28,   1059.69,     0.07677,          2.456
      5,      38.5,     12.76,   1019.89,     0.07677,          2.552
      5,      38.5,     12.76,   1019.89,     0.07677,          2.552
      5,      38.5,     12.52,   1039.47,     0.07677,          2.504
      5,      38.5,     12.76,   1019.89,     0.07677,          2.552
      5,      38.5,     12.52,   1039.41,     0.07677,          2.504
      5,      38.5,     12.54,   1037.95,     0.07677,          2.508
      5,      38.5,     12.54,   1037.95,     0.07677,          2.508
      5,      38.5,     12.54,   1037.95,     0.07677,          2.508
      5,      38.5,     12.54,   1038.15,     0.07677,          2.508
      5,      38.5,     13.04,    998.67,     0.07677,          2.608
      5,      38.5,     12.82,   1016.07,     0.15265,          2.564
      5,      38.5,     13.04,    999.11,     0.07677,          2.608
      5,      38.5,     12.28,   1061.02,     0.00000,          2.456
      5,      38.5,     12.78,   1019.34,     0.08314,          2.556
      5,      38.5,     13.04,    999.11,     0.07677,          2.608
      5,      38.5,     12.78,   1019.34,     0.07677,          2.556
      5,      38.5,     12.82,   1016.07,     0.07677,          2.564
      5,      38.5,     12.78,   1018.90,     0.07677,          2.556
      5,      38.5,     12.82,   1015.65,     0.08314,          2.564
      5,      38.5,     13.04,    998.27,     0.07677,          2.608
      5,      38.5,     13.04,    998.27,     0.07677,          2.608
      5,      38.5,     13.04,    998.27,     0.07677,          2.608
