D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\find_alpha_routine.py,,,,,,
N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Angle [deg], Alpha [px/bit]
5,30,13.81,733.24,0.98279,56.31,2.762
5,30,13.74,737.13,1.00407,57.529,2.748
5,30,13.47,752.01,1.00407,57.529,2.693
5,30,13.56,746.77,1.10715,63.435,2.712
5,30,13.31,760.57,1.10715,63.435,2.663
5,30,13.56,746.77,1.10715,63.435,2.712
5,30,13.56,746.77,1.00407,57.529,2.712
5,30,13.56,746.77,1.00407,57.529,2.712
5,30,13.31,760.57,1.10715,63.435,2.663
5,30,13.44,753.4,1.07145,61.39,2.688
5,30,13.87,730.3,1.13839,65.225,2.773
5,30,13.56,747.09,1.14417,65.556,2.711
5,30,13.34,759.37,1.17601,67.38,2.667
5,30,13.34,759.45,1.17601,67.38,2.667
5,30,13.87,730.38,1.13839,65.225,2.773
5,30,13.54,748.15,1.13839,65.225,2.708
5,30,13.34,759.45,1.17601,67.38,2.667
5,30,13.54,748.24,1.13839,65.225,2.708
5,30,13.46,752.42,1.17601,67.38,2.693
5,30,13,779.29,1.17601,67.38,2.6
5,30,13.29,762.11,1.24905,71.565,2.659
5,30,12.97,780.9,1.24905,71.565,2.595
5,30,12.97,780.9,1.24905,71.565,2.595
5,30,13.3,761.8,1.2723,72.897,2.66
5,30,13.3,761.8,1.2723,72.897,2.66
5,30,13.6,744.82,1.2723,72.897,2.72
5,30,13.3,761.8,1.24905,71.565,2.66
5,30,13.92,727.73,1.2723,72.897,2.785
5,30,13.34,759.54,1.344,77.005,2.668
5,30,13.6,744.93,1.2723,72.897,2.72
5,30,13.47,752.11,1.2723,72.897,2.694
5,30,13.3,761.9,1.2723,72.897,2.66
5,30,13.3,761.9,1.344,77.005,2.66
5,30,13.3,761.9,1.24905,71.565,2.66
5,30,13.34,759.54,1.344,77.005,2.668
5,30,13.34,759.54,1.344,77.005,2.668
5,30,12.86,788.39,1.32582,75.964,2.571
5,30,13.47,752.24,1.2925,74.055,2.695
5,30,13.34,759.78,1.344,77.005,2.668
5,30,13.34,759.78,1.344,77.005,2.668
5,30,13.34,759.78,1.344,77.005,2.668
5,30,13.54,748.73,1.344,77.005,2.708
5,30,13.15,770.68,1.41815,81.254,2.631
5,30,12.88,787.17,1.41815,81.254,2.575
5,30,13.45,754.07,1.41815,81.254,2.689
5,30,13.65,743.01,1.4289,81.87,2.73
5,30,13.32,761.64,1.49402,85.601,2.663
5,30,13.59,746.21,1.41815,81.254,2.719
5,30,13.1,774.6,1.4289,81.87,2.619
5,30,13.1,774.78,1.49402,85.601,2.619
5,30,13.04,778.18,1.49402,85.601,2.608
5,30,13.02,779.02,1.5708,90,2.604
5,30,13.26,764.61,1.49402,85.601,2.652
5,30,13.52,749.97,1.5708,90,2.704
5,30,13.02,778.6,1.5708,90,2.604
5,30,13.02,778.47,1.5708,90,2.604
5,30,13.26,764.36,1.5708,90,2.652
5,30,13.26,764.36,1.5708,90,2.652
5,30,13.26,764.36,1.5708,90,2.652
5,30,13.26,764.48,1.64757,94.399,2.652
5,30,13.52,749.8,1.64757,94.399,2.704
5,30,13.52,749.8,1.64757,94.399,2.704
5,30,13.76,736.74,1.6421,94.086,2.752
5,30,13.26,764.48,1.64757,94.399,2.652
5,30,13.26,764.48,1.64757,94.399,2.652
5,30,13.52,749.8,1.64757,94.399,2.704
5,30,13.28,763.42,1.6421,94.086,2.656
5,30,13.28,763.42,1.64757,94.399,2.656
5,30,13.52,749.88,1.6421,94.086,2.704
5,30,13.28,763.42,1.64757,94.399,2.656
5,30,13.02,778.6,1.64757,94.399,2.604
5,30,13.02,778.6,1.64757,94.399,2.604
5,30,13.02,778.6,1.64757,94.399,2.604
5,30,13.52,749.88,1.6421,94.086,2.704
5,30,12.78,793.2,1.65394,94.764,2.556
5,30,13.59,745.54,1.49402,85.601,2.718
5,30,13.54,748.86,1.3597,77.905,2.708
5,30,12.65,801.01,1.24905,71.565,2.53
5,30,13.13,771.85,1.24905,71.565,2.625
5,30,13.29,762.01,1.20362,68.963,2.659
5,30,13.3,761.67,1.17601,67.38,2.66
5,30,12.83,789.63,1.17601,67.38,2.565
5,30,13,779.09,1.17601,67.38,2.6
5,30,13,779.01,1.17601,67.38,2.6
5,30,12.89,785.86,1.14417,65.556,2.577
5,30,13.21,766.36,1.17601,67.38,2.642
5,30,13.54,747.93,1.10715,63.435,2.708
5,30,13.31,760.44,1.04272,59.744,2.663
5,30,13.22,765.87,1.00407,57.529,2.644
5,30,13.22,765.87,1.04272,59.744,2.644
5,30,13.33,759.76,1.07145,61.39,2.665
5,30,13.22,765.82,1.10715,63.435,2.644
5,30,13.22,765.77,1.07145,61.39,2.644
5,30,13.12,771.14,1.07145,61.39,2.625
5,30,13.39,755.7,0.942,53.973,2.679
5,30,13.33,759.51,0.942,53.973,2.665
5,30,13.6,744.09,0.942,53.973,2.72
5,30,12.78,792.12,0.89606,51.34,2.555
5,30,12.86,787.3,0.942,53.973,2.571
5,30,13.17,768.66,0.89606,51.34,2.633
5,30,13.11,772.08,0.73282,41.987,2.622
5,30,13.45,752.27,0.73282,41.987,2.691
5,30,13.11,772.06,0.73282,41.987,2.622
5,30,13.82,732.57,0.68573,39.289,2.763
5,30,13.14,770.39,0.6288,36.027,2.628
5,30,13.17,768.7,0.67474,38.66,2.633
5,30,13.52,748.69,0.67474,38.66,2.704
5,30,13.2,766.5,0.6288,36.027,2.641
5,30,12.81,790.29,0.67474,38.66,2.561
5,30,12.76,794.33,0.42663,24.444,2.551
5,30,12.87,787.2,0.46365,26.565,2.575
