= RESTART: D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\find_alpha_routine.py
24-09-24
---------------------------------------------------------------------
N [bit], Size [mm], Size [px], Dist [mm], Angle [deg], Alpha [px/bit]
      5,      38.5,     25.88,    502.09,       54.46,          5.176
      5,      38.5,     24.36,    533.35,       58.24,          4.871
      5,      38.5,     24.53,    529.52,       59.42,          4.906
      5,      38.5,     24.97,    520.29,       59.42,          4.993
      5,      38.5,     24.72,    525.36,       62.45,          4.945
      5,      38.5,     24.97,    520.26,       65.38,          4.993
      5,      38.5,     24.43,    531.69,       68.63,          4.886
      5,      38.5,     25.49,    509.53,       69.45,          5.098
      5,      38.5,     25.47,    510.03,       69.45,          5.093
      5,      38.5,     24.51,    529.91,       71.57,          4.902
      5,      38.5,     24.84,    522.91,       74.36,          4.968
      5,      38.5,     25.55,    508.31,       76.51,          5.110
      5,      38.5,     24.64,    527.20,       73.74,          4.927
      5,      38.5,     24.42,    531.83,       78.23,          4.885
      5,      38.5,     24.75,    524.75,       80.54,          4.951
      5,      38.5,     24.47,    530.84,       83.16,          4.894
      5,      38.5,     24.14,    538.26,       82.88,          4.827
      5,      38.5,     25.12,    517.25,       80.54,          5.023
      5,      38.5,     24.75,    524.78,       80.91,          4.951
      5,      38.5,     24.45,    531.25,       76.51,          4.890
      5,      38.5,     24.70,    525.95,       73.74,          4.939
      5,      38.5,     24.51,    529.81,       71.57,          4.903
      5,      38.5,     23.91,    543.17,       68.63,          4.782
      5,      38.5,     24.60,    528.05,       63.44,          4.919
      5,      38.5,     24.29,    534.85,       60.26,          4.857
      5,      38.5,     25.55,    508.49,       48.18,          5.111
      5,      38.5,     24.42,    532.13,       43.36,          4.884
      5,      38.5,     25.85,    502.76,       40.37,          5.171
      5,      38.5,     25.27,    514.50,       36.87,          5.053
      5,      38.5,     25.12,    517.57,       36.87,          5.024
      5,      38.5,     24.36,    533.95,       29.75,          4.872
      5,      38.5,     24.29,    535.96,       27.65,          4.857
      5,      38.5,     24.39,    534.16,       23.50,          4.879
      5,      38.5,     24.67,    529.64,       18.44,          4.934
      5,      38.5,     24.74,    528.17,       14.04,          4.948
      5,      38.5,     25.02,    522.33,       13.50,          5.003
      5,      38.5,     25.22,    518.00,        9.46,          5.043
      5,      38.5,     25.63,    509.30,        9.09,          5.126
      5,      38.5,     23.55,    553.75,        9.87,          4.711
      5,      38.5,     25.04,    520.68,        6.84,          5.007
      5,      38.5,     24.75,    526.50,        9.46,          4.951
      5,      38.5,     24.47,    532.59,        6.84,          4.894
      5,      38.5,     24.97,    521.90,        9.09,          4.993
      5,      38.5,     24.91,    523.03,        7.13,          4.981
      5,      38.5,     23.91,    545.29,        7.13,          4.783
      5,      38.5,     23.15,    563.36,       11.77,          4.629
      5,      38.5,     23.35,    558.54,        9.46,          4.669
      5,      38.5,     23.64,    551.59,       12.27,          4.728
      5,      38.5,     23.86,    546.31,        7.13,          4.772
      5,      38.5,     23.55,    553.33,       14.62,          4.710
      5,      38.5,     23.77,    548.17,       14.62,          4.754
      5,      38.5,     23.43,    556.10,       17.65,          4.685
      5,      38.5,     22.78,    571.58,       18.44,          4.555
      5,      38.5,     21.84,    595.72,       20.23,          4.367
      5,      38.5,     22.25,    583.63,       27.76,          4.451
      5,      38.5,     23.17,    560.57,       30.96,          4.634
      5,      38.5,     22.40,    579.86,       34.38,          4.480
      5,      38.5,     22.27,    583.12,       37.41,          4.455
      5,      38.5,     22.11,    587.36,       39.47,          4.423
      5,      38.5,     21.99,    590.53,       41.42,          4.399
      5,      38.5,     22.64,    573.59,       45.00,          4.529
      5,      38.5,     23.39,    555.26,       46.85,          4.678
      5,      38.5,     22.70,    572.23,       48.58,          4.540
      5,      38.5,     22.11,    587.54,       50.53,          4.422
      5,      38.5,     21.63,    600.45,       56.31,          4.327
      5,      38.5,     22.42,    579.42,       55.62,          4.484
      5,      38.5,     23.24,    558.91,       56.98,          4.649
      5,      38.5,     22.99,    565.13,       61.19,          4.597
      5,      38.5,     21.47,    605.02,       62.24,          4.294
      5,      38.5,     23.39,    555.34,       67.75,          4.678
      5,      38.5,     22.27,    583.30,       63.44,          4.454
      5,      38.5,     22.33,    581.58,       66.80,          4.467
      5,      38.5,     22.48,    577.69,       70.02,          4.497
      5,      38.5,     22.14,    586.75,       71.57,          4.427
      5,      38.5,     22.80,    569.58,       74.75,          4.561
      5,      38.5,     22.50,    577.24,       74.06,          4.500
      5,      38.5,     22.38,    580.46,       74.75,          4.476
      5,      38.5,     22.95,    566.00,       77.74,          4.590
      5,      38.5,     23.25,    558.84,       77.74,          4.649
      5,      38.5,     22.85,    568.40,       80.14,          4.571
      5,      38.5,     23.54,    551.86,       77.74,          4.707
      5,      38.5,     22.56,    575.72,       77.20,          4.512
      5,      38.5,     22.50,    577.22,       74.75,          4.500
      5,      38.5,     22.78,    570.30,       71.57,          4.555
      5,      38.5,     22.85,    568.52,       66.80,          4.569
      5,      38.5,     22.20,    585.15,       69.15,          4.440
      5,      38.5,     21.47,    604.97,       62.24,          4.294
      5,      38.5,     22.21,    584.80,       57.73,          4.443
      5,      38.5,     22.40,    579.93,       57.73,          4.480
      5,      38.5,     22.21,    584.87,       54.78,          4.442
      5,      38.5,     23.16,    560.85,       50.53,          4.632
      5,      38.5,     22.38,    580.37,       48.82,          4.476
      5,      38.5,     22.33,    582.50,       32.28,          4.467
      5,      38.5,     22.96,    566.74,       36.39,          4.592
      5,      38.5,     21.92,    594.27,       27.76,          4.383
      5,      38.5,     23.37,    556.95,       27.65,          4.675
      5,      38.5,     21.70,    599.56,       26.57,          4.340
      5,      38.5,     21.60,    601.86,       24.23,          4.321
      5,      38.5,     22.81,    569.87,       19.18,          4.562
      5,      38.5,     22.16,    586.50,       20.86,          4.431
      5,      38.5,     21.98,    591.03,       18.44,          4.397
      5,      38.5,     21.99,    590.92,       17.65,          4.398
      5,      38.5,     23.12,    562.12,       17.65,          4.623
      5,      38.5,     22.68,    572.87,       12.80,          4.536
      5,      38.5,     22.27,    583.49,       12.80,          4.453
      5,      38.5,     22.66,    573.38,       12.80,          4.531
      5,      38.5,     22.75,    570.88,       12.80,          4.551
      5,      38.5,     22.08,    588.48,       10.31,          4.415
      5,      38.5,     22.49,    577.70,        7.77,          4.498
      5,      38.5,     21.01,    618.74,        8.13,          4.201
      5,      38.5,     20.88,    622.87,        5.71,          4.175
      5,      38.5,     21.33,    610.57,        2.73,          4.265
      5,      38.5,     22.29,    584.44,        2.49,          4.458
      5,      38.5,     22.06,    590.60,        5.19,          4.411
      5,      38.5,     20.79,    626.36,        2.73,          4.159
      5,      38.5,     20.56,    633.71,        2.60,          4.112
      5,      38.5,     21.65,    601.64,        8.13,          4.330
      5,      38.5,     21.65,    601.42,        5.19,          4.330
      5,      38.5,     21.58,    602.97,        8.13,          4.316
      5,      38.5,     20.81,    624.83,       11.31,          4.163
      5,      38.5,     20.14,    645.29,       14.74,          4.029
      5,      38.5,     20.72,    627.15,       19.29,          4.144
      5,      38.5,     21.20,    612.73,       19.29,          4.241
      5,      38.5,     21.69,    599.10,       21.80,          4.337
      5,      38.5,     21.74,    597.58,       24.23,          4.347
      5,      38.5,     20.58,    630.99,       29.06,          4.117
      5,      38.5,     21.74,    597.56,       30.96,          4.347
      5,      38.5,     21.28,    610.42,       31.43,          4.256
      5,      38.5,     20.68,    628.07,       33.69,          4.136
      5,      38.5,     22.04,    589.33,       39.10,          4.408
      5,      38.5,     21.47,    605.27,       52.60,          4.293
      5,      38.5,     22.27,    583.47,       54.16,          4.455
      5,      38.5,     21.28,    611.75,       68.20,          4.257
      5,      38.5,     21.28,    612.24,       64.66,          4.256
      5,      38.5,     21.54,    605.04,       68.20,          4.308
      5,      38.5,     21.54,    605.19,       68.20,          4.308
      5,      38.5,     21.37,    610.32,       70.71,          4.273
      5,      38.5,     21.08,    618.32,       67.17,          4.216
      5,      38.5,     21.39,    607.78,       59.93,          4.278
      5,      38.5,     20.68,    628.38,       57.10,          4.136
      5,      38.5,     21.02,    618.07,       50.53,          4.203
      5,      38.5,     20.87,    622.30,       46.85,          4.174
      5,      38.5,     20.17,    643.96,       45.00,          4.034
      5,      38.5,     21.80,    595.90,       35.84,          4.360
      5,      38.5,     21.29,    610.16,       35.22,          4.259
      5,      38.5,     21.44,    605.80,       31.43,          4.289
      5,      38.5,     21.54,    603.21,       32.28,          4.307
      5,      38.5,     21.14,    614.62,       29.06,          4.227
      5,      38.5,     20.91,    621.23,       25.35,          4.182
      5,      38.5,     20.91,    621.11,       27.76,          4.183
      5,      38.5,     21.08,    616.22,       21.80,          4.216
      5,      38.5,     20.72,    626.88,       16.70,          4.144
      5,      38.5,     21.36,    608.05,       15.95,          4.272
      5,      38.5,     21.23,    611.77,       14.04,          4.246
      5,      38.5,     21.30,    609.73,       12.80,          4.261
      5,      38.5,     20.89,    621.94,       10.78,          4.177
      5,      38.5,     20.57,    631.63,        2.86,          4.115
      5,      38.5,     20.37,    638.20,        0.00,          4.075
      5,      38.5,     20.57,    632.40,        2.60,          4.115
      5,      38.5,     20.79,    625.89,        2.73,          4.158
      5,      38.5,     21.36,    609.41,       10.31,          4.272
      5,      38.5,     20.52,    633.93,        2.73,          4.105
      5,      38.5,     20.80,    625.40,        5.44,          4.161
      5,      38.5,     19.60,    663.43,        5.71,          3.920
      5,      38.5,     20.22,    642.95,        8.53,          4.045
      5,      38.5,     20.60,    631.17,       10.78,          4.120
      5,      38.5,     20.21,    643.20,       11.31,          4.041
      5,      38.5,     20.32,    639.57,       14.04,          4.064
      5,      38.5,     19.79,    656.60,       15.52,          3.957
      5,      38.5,     19.47,    667.24,       22.38,          3.894
      5,      38.5,     19.83,    654.96,       23.96,          3.966
      5,      38.5,     19.70,    659.38,       23.96,          3.940
      5,      38.5,     19.35,    671.11,       29.36,          3.871
      5,      38.5,     19.82,    655.38,       30.47,          3.964
      5,      38.5,     20.67,    628.32,       32.91,          4.134
      5,      38.5,     20.75,    625.81,       35.22,          4.151
      5,      38.5,     20.66,    628.75,       37.41,          4.132
      5,      38.5,     20.56,    631.77,       43.03,          4.112
      5,      38.5,     19.86,    654.03,       39.10,          3.972
      5,      38.5,     20.53,    632.68,       48.82,          4.106
      5,      38.5,     20.62,    629.87,       50.53,          4.124
      5,      38.5,     20.62,    630.05,       50.91,          4.123
      5,      38.5,     20.13,    645.37,       53.75,          4.025
      5,      38.5,     20.18,    643.60,       54.78,          4.036
      5,      38.5,     20.28,    640.48,       62.24,          4.056
      5,      38.5,     19.72,    658.54,       59.54,          3.945
      5,      38.5,     19.35,    671.40,       62.10,          3.869
      5,      38.5,     21.04,    617.32,       67.17,          4.208
      5,      38.5,     20.49,    633.78,       68.20,          4.099
      5,      38.5,     20.27,    640.99,       70.71,          4.053
      5,      38.5,     20.24,    641.70,       72.48,          4.049
      5,      38.5,     20.40,    636.73,       73.30,          4.081
      5,      38.5,     19.62,    662.30,       69.78,          3.923
      5,      38.5,     19.30,    673.20,       71.57,          3.859
      5,      38.5,     20.58,    631.35,       69.78,          4.115
      5,      38.5,     19.31,    672.58,       68.75,          3.863
      5,      38.5,     19.84,    655.00,       57.10,          3.968
      5,      38.5,     20.94,    620.63,       56.31,          4.188
      5,      38.5,     20.55,    632.73,       53.13,          4.110
      5,      38.5,     20.71,    628.06,       54.78,          4.141
      5,      38.5,     20.28,    641.23,       52.60,          4.057
      5,      38.5,     19.19,    677.92,       53.13,          3.838
      5,      38.5,     19.45,    668.78,       43.03,          3.890
      5,      38.5,     19.18,    678.36,       40.60,          3.835
      5,      38.5,     19.53,    665.83,       40.60,          3.907
      5,      38.5,     19.86,    654.65,       36.87,          3.971
      5,      38.5,     21.02,    618.29,       31.43,          4.204
      5,      38.5,     20.59,    631.10,       29.06,          4.118
      5,      38.5,     20.47,    634.85,       26.57,          4.093
      5,      38.5,     20.24,    641.81,       25.35,          4.049
      5,      38.5,     20.63,    629.75,       21.80,          4.126
      5,      38.5,     21.08,    616.29,       21.80,          4.216
      5,      38.5,     20.25,    641.51,       20.23,          4.050
      5,      38.5,     20.58,    631.29,       19.29,          4.115
      5,      38.5,     20.24,    641.59,       17.53,          4.049
      5,      38.5,     19.93,    651.58,       17.53,          3.987
      5,      38.5,     19.77,    657.04,       17.53,          3.954
      5,      38.5,     20.40,    636.64,       16.70,          4.081
      5,      38.5,     20.59,    630.97,       14.74,          4.118
      5,      38.5,     20.58,    631.48,       14.04,          4.115
      5,      38.5,     20.92,    621.11,       14.04,          4.185
      5,      38.5,     20.21,    643.27,       11.31,          4.041
      5,      38.5,     20.22,    642.95,        8.53,          4.045
      5,      38.5,     20.72,    627.69,        8.13,          4.144
      5,      38.5,     20.60,    631.58,        5.71,          4.119
      5,      38.5,     20.33,    640.11,        5.71,          4.066
      5,      38.5,     20.56,    633.04,        2.86,          4.112
      5,      38.5,     20.29,    641.38,        2.86,          4.059
      5,      38.5,     20.29,    641.38,        2.86,          4.059
      5,      38.5,     20.56,    633.04,        2.86,          4.112
      5,      38.5,     20.56,    633.04,        2.86,          4.112
      5,      38.5,     20.56,    633.14,        2.73,          4.112
      5,      38.5,     20.54,    634.03,        0.00,          4.107
      5,      38.5,     20.78,    626.73,        2.60,          4.156
      5,      38.5,     20.79,    626.65,        2.73,          4.159
      5,      38.5,     20.79,    626.98,        5.44,          4.158
      5,      38.5,     20.56,    634.19,        5.44,          4.112
      5,      38.5,     20.56,    634.19,        5.44,          4.112
      5,      38.5,     20.56,    634.19,        5.44,          4.112
      5,      38.5,     20.83,    626.04,        5.44,          4.166
      5,      38.5,     20.02,    651.16,        2.86,          4.005
      5,      38.5,     20.83,    626.04,        5.44,          4.166
      5,      38.5,     20.83,    626.04,        5.44,          4.166
      5,      38.5,     20.83,    626.04,        5.44,          4.166
      5,      38.5,     20.83,    626.04,        5.44,          4.166
      5,      38.5,     20.83,    626.04,        5.44,          4.166
      5,      38.5,     19.79,    658.76,        2.86,          3.959
      5,      38.5,     20.56,    634.19,        5.71,          4.112
      5,      38.5,     20.56,    634.19,        5.71,          4.112
      5,      38.5,     20.02,    651.16,        2.86,          4.005
      5,      38.5,     20.56,    634.19,        5.71,          4.112
      5,      38.5,     20.56,    634.19,        5.71,          4.112
      5,      38.5,     19.60,    665.20,        6.01,          3.920
      5,      38.5,     20.79,    627.14,        2.73,          4.158
      5,      38.5,     20.79,    627.14,        2.73,          4.158
      5,      38.5,     19.79,    658.76,        5.71,          3.959
      5,      38.5,     20.79,    627.14,        2.73,          4.158
      5,      38.5,     20.79,    627.14,        2.73,          4.158
      5,      38.5,     19.79,    659.30,        3.01,          3.959
      5,      38.5,     21.04,    620.55,       -2.86,          4.207
      5,      38.5,     21.02,    620.92,        2.73,          4.205
      5,      38.5,     20.57,    632.89,        2.60,          4.115
      5,      38.5,     20.12,    646.53,        8.53,          4.025
      5,      38.5,     20.38,    638.33,        5.44,          4.076
      5,      38.5,     20.38,    638.33,        5.44,          4.076
      5,      38.5,     20.16,    645.22,        5.71,          4.032
      5,      38.5,     20.10,    647.11,        5.71,          4.020
      5,      38.5,     19.95,    652.01,        8.53,          3.989
      5,      38.5,     20.11,    646.65,       11.31,          4.022
      5,      38.5,     19.47,    667.45,       27.90,          3.893
      5,      38.5,     19.36,    671.28,       25.20,          3.872
      5,      38.5,     18.72,    694.40,       30.96,          3.744
      5,      38.5,     19.49,    667.07,       34.51,          3.897
      5,      38.5,     19.32,    673.00,       38.16,          3.863
      5,      38.5,     19.89,    653.43,       43.03,          3.979
      5,      38.5,     19.51,    666.35,       45.00,          3.902
      5,      38.5,     19.11,    680.28,       45.00,          3.822
      5,      38.5,     19.18,    677.87,       49.40,          3.835
      5,      38.5,     19.25,    675.04,       53.13,          3.851
      5,      38.5,     19.25,    675.04,       51.34,          3.851
      5,      38.5,     19.31,    673.23,       51.34,          3.861
      5,      38.5,     19.42,    669.27,       56.31,          3.885
      5,      38.5,     19.30,    673.70,       59.54,          3.859
      5,      38.5,     18.80,    691.64,       56.31,          3.759
      5,      38.5,     19.56,    664.46,       55.49,          3.913
      5,      38.5,     19.64,    661.86,       57.10,          3.928
      5,      38.5,     19.72,    659.10,       59.54,          3.945
      5,      38.5,     19.64,    661.86,       57.10,          3.928
      5,      38.5,     19.56,    664.38,       57.10,          3.913
      5,      38.5,     18.36,    707.96,       60.64,          3.672
      5,      38.5,     19.72,    658.88,       59.54,          3.945
      5,      38.5,     19.39,    670.29,       58.00,          3.877
      5,      38.5,     18.68,    695.59,       64.80,          3.735
      5,      38.5,     19.01,    683.15,       63.44,          3.803
      5,      38.5,     19.24,    675.01,       66.04,          3.849
      5,      38.5,     19.24,    675.03,       64.80,          3.849
      5,      38.5,     18.79,    691.37,       64.80,          3.758
      5,      38.5,     19.01,    683.13,       62.10,          3.803
      5,      38.5,     18.34,    708.30,       63.44,          3.668
      5,      38.5,     19.15,    678.41,       60.64,          3.829
      5,      38.5,     18.95,    685.27,       60.64,          3.791
      5,      38.5,     17.98,    722.55,       58.00,          3.595
      5,      38.5,     18.16,    715.28,       49.40,          3.632
      5,      38.5,     18.02,    720.65,       30.96,          3.605
      5,      38.5,     18.80,    690.83,       27.90,          3.760
      5,      38.5,     19.58,    663.45,       26.57,          3.915
      5,      38.5,     19.05,    681.77,       21.25,          3.810
      5,      38.5,     18.99,    684.07,       19.44,          3.797
      5,      38.5,     18.97,    684.55,       18.44,          3.795
      5,      38.5,     18.68,    695.27,       15.52,          3.736
      5,      38.5,     18.44,    704.41,       12.53,          3.688
      5,      38.5,     19.13,    679.13,        8.97,          3.825
      5,      38.5,     19.53,    665.22,        8.97,          3.906
      5,      38.5,     19.66,    660.68,        8.53,          3.933
      5,      38.5,     18.89,    687.97,        6.01,          3.778
      5,      38.5,     18.62,    698.03,        3.01,          3.724
      5,      38.5,     19.56,    664.51,        2.86,          3.913
      5,      38.5,     17.78,    730.63,        6.34,          3.557
      5,      38.5,     19.31,    672.88,        5.71,          3.862
      5,      38.5,     19.04,    682.24,        6.01,          3.808
      5,      38.5,     18.01,    721.04,        3.18,          3.603
      5,      38.5,     18.84,    689.53,        6.34,          3.767
      5,      38.5,     19.30,    673.14,        3.01,          3.859
      5,      38.5,     19.04,    682.24,        6.01,          3.808
      5,      38.5,     18.53,    701.12,        3.18,          3.705
      5,      38.5,     18.54,    700.58,        3.18,          3.708
      5,      38.5,     17.61,    737.38,        6.34,          3.523
      5,      38.5,     18.62,    697.49,        9.46,          3.724
      5,      38.5,     18.46,    703.59,        9.46,          3.692
      5,      38.5,     18.44,    704.40,       12.53,          3.688
      5,      38.5,     18.74,    692.93,       11.89,          3.749
      5,      38.5,     17.95,    723.54,       12.53,          3.590
      5,      38.5,     19.00,    683.85,       15.52,          3.799
      5,      38.5,     18.35,    707.89,       15.52,          3.670
      5,      38.5,     18.22,    712.91,       20.56,          3.644
      5,      38.5,     18.51,    701.59,       19.44,          3.703
      5,      38.5,     18.26,    711.47,       23.63,          3.651
      5,      38.5,     18.34,    708.28,       26.57,          3.668
      5,      38.5,     18.81,    690.70,       30.47,          3.761
      5,      38.5,     18.39,    706.68,       35.54,          3.679
      5,      38.5,     18.20,    714.24,       38.16,          3.641
      5,      38.5,     18.55,    700.72,       38.16,          3.711
      5,      38.5,     18.20,    714.06,       38.16,          3.641
      5,      38.5,     16.98,    765.41,       45.00,          3.396
      5,      38.5,     17.00,    764.06,       45.00,          3.400
      5,      38.5,     17.69,    734.14,       47.29,          3.538
      5,      38.5,     17.82,    728.92,       54.46,          3.564
      5,      38.5,     18.16,    715.17,       49.40,          3.632
      5,      38.5,     17.21,    754.81,       55.31,          3.442
      5,      38.5,     17.87,    727.19,       56.31,          3.573
      5,      38.5,     18.03,    720.77,       56.31,          3.606
      5,      38.5,     17.98,    722.86,       53.75,          3.596
      5,      38.5,     17.97,    723.42,       56.31,          3.593
      5,      38.5,     17.97,    723.42,       53.75,          3.593
      5,      38.5,     18.22,    713.46,       54.46,          3.643
      5,      38.5,     18.18,    715.17,       47.29,          3.635
      5,      38.5,     17.69,    734.46,       47.29,          3.538
      5,      38.5,     18.42,    705.47,       42.88,          3.684
      5,      38.5,     18.55,    700.22,       38.66,          3.711
      5,      38.5,     17.85,    727.60,       38.16,          3.571
      5,      38.5,     18.04,    719.98,       36.25,          3.608
      5,      38.5,     17.25,    752.96,       28.07,          3.450
      5,      38.5,     17.89,    726.08,       26.57,          3.578
      5,      38.5,     18.23,    712.44,       26.57,          3.646
      5,      38.5,     17.60,    737.96,       23.63,          3.520
      5,      38.5,     18.21,    713.35,       19.44,          3.642
      5,      38.5,     17.89,    726.15,       19.44,          3.578
      5,      38.5,     18.50,    702.19,       18.44,          3.700
      5,      38.5,     17.75,    732.12,       18.44,          3.550
      5,      38.5,     16.98,    765.47,       14.04,          3.396
      5,      38.5,     17.58,    739.49,       14.04,          3.516
      5,      38.5,     17.77,    732.10,       12.53,          3.554
      5,      38.5,     17.90,    727.01,        9.46,          3.579
      5,      38.5,     17.90,    727.27,        9.46,          3.579
      5,      38.5,     18.07,    720.77,        6.34,          3.614
      5,      38.5,     17.80,    732.05,        3.37,          3.560
      5,      38.5,     16.53,    789.70,        3.58,          3.306
      5,      38.5,     17.76,    735.15,        3.18,          3.551
      5,      38.5,     17.77,    731.68,        3.37,          3.554
      5,      38.5,     18.01,    721.63,        3.18,          3.603
      5,      38.5,     17.01,    764.01,        0.00,          3.403
      5,      38.5,     17.57,    740.35,        3.18,          3.514
      5,      38.5,     18.11,    718.29,        6.34,          3.622
      5,      38.5,     17.68,    735.60,        9.46,          3.537
      5,      38.5,     17.90,    726.65,        6.34,          3.579
      5,      38.5,     17.26,    753.23,       10.01,          3.453
      5,      38.5,     17.26,    753.13,       10.01,          3.453
      5,      38.5,     17.07,    761.76,       10.01,          3.413
      5,      38.5,     17.47,    744.28,       12.53,          3.493
      5,      38.5,     17.59,    738.81,       12.53,          3.519
      5,      38.5,     17.59,    738.76,       16.39,          3.518
      5,      38.5,     17.61,    738.05,       19.44,          3.521
      5,      38.5,     17.42,    745.94,       16.39,          3.483
      5,      38.5,     17.40,    746.77,       19.44,          3.479
      5,      38.5,     17.24,    753.39,       20.56,          3.448
      5,      38.5,     17.09,    760.13,       20.56,          3.418
      5,      38.5,     17.41,    745.90,       19.44,          3.483
      5,      38.5,     17.42,    745.75,       20.56,          3.483
      5,      38.5,     17.46,    743.73,       23.63,          3.493
      5,      38.5,     17.68,    734.69,       23.63,          3.536
      5,      38.5,     17.34,    748.96,       23.63,          3.468
      5,      38.5,     17.22,    754.27,       25.02,          3.444
      5,      38.5,     17.56,    739.69,       23.63,          3.512
      5,      38.5,     17.56,    739.84,       25.20,          3.511
      5,      38.5,     17.44,    744.61,       26.57,          3.489
      5,      38.5,     16.78,    774.13,       26.57,          3.356
      5,      38.5,     16.78,    774.19,       23.63,          3.356
      5,      38.5,     17.35,    748.96,       26.57,          3.469
      5,      38.5,     17.25,    753.12,       30.96,          3.450
      5,      38.5,     17.16,    757.17,       32.74,          3.431
      5,      38.5,     17.59,    738.72,       30.96,          3.517
      5,      38.5,     17.25,    753.09,       29.36,          3.450
      5,      38.5,     17.49,    742.61,       30.96,          3.499
      5,      38.5,     17.41,    745.92,       30.96,          3.483
      5,      38.5,     17.34,    749.02,       30.96,          3.468
      5,      38.5,     16.47,    788.64,       28.07,          3.294
      5,      38.5,     16.64,    780.42,       32.74,          3.329
      5,      38.5,     16.64,    780.42,       32.74,          3.329
      5,      38.5,     16.88,    769.61,       30.96,          3.375
      5,      38.5,     17.20,    755.01,       35.54,          3.441
      5,      38.5,     17.51,    741.92,       36.25,          3.502
      5,      38.5,     15.76,    824.63,       36.87,          3.151
      5,      38.5,     16.58,    783.64,       34.70,          3.317
      5,      38.5,     17.23,    754.13,       36.25,          3.447
      5,      38.5,     17.11,    759.76,       38.16,          3.422
      5,      38.5,     16.72,    777.41,       37.57,          3.344
      5,      38.5,     17.07,    761.81,       38.16,          3.413
      5,      38.5,     17.03,    763.35,       40.24,          3.406
      5,      38.5,     17.69,    734.77,       42.71,          3.538
      5,      38.5,     16.28,    798.65,       42.51,          3.256
      5,      38.5,     16.30,    797.52,       40.24,          3.260
      5,      38.5,     17.02,    763.74,       38.16,          3.404
      5,      38.5,     16.30,    797.32,       40.24,          3.260
      5,      38.5,     16.32,    796.44,       40.24,          3.263
      5,      38.5,     16.63,    781.43,       45.00,          3.326
      5,      38.5,     17.70,    734.06,       49.40,          3.541
      5,      38.5,     15.98,    813.33,       52.43,          3.196
      5,      38.5,     17.37,    748.35,       47.29,          3.473
      5,      38.5,     17.04,    762.44,       51.84,          3.409
      5,      38.5,     17.40,    746.79,       53.75,          3.480
      5,      38.5,     17.40,    746.79,       53.75,          3.480
      5,      38.5,     17.08,    760.75,       54.46,          3.416
      5,      38.5,     16.76,    775.34,       52.43,          3.352
      5,      38.5,     16.76,    775.34,       49.77,          3.352
      5,      38.5,     16.80,    773.25,       52.43,          3.361
      5,      38.5,     16.17,    803.67,       55.31,          3.233
      5,      38.5,     17.20,    755.20,       54.46,          3.441
      5,      38.5,     16.58,    783.79,       54.46,          3.315
      5,      38.5,     16.93,    767.41,       59.04,          3.386
      5,      38.5,     17.34,    749.10,       59.04,          3.468
      5,      38.5,     17.69,    734.44,       59.04,          3.538
      5,      38.5,     18.03,    720.61,       56.31,          3.606
      5,      38.5,     18.03,    720.61,       56.31,          3.606
      5,      38.5,     16.93,    767.41,       59.04,          3.386
      5,      38.5,     16.58,    783.79,       54.46,          3.315
      5,      38.5,     17.21,    754.76,       52.43,          3.443
      5,      38.5,     16.80,    773.31,       54.46,          3.361
      5,      38.5,     17.17,    756.93,       56.31,          3.434
      5,      38.5,     16.76,    775.49,       49.77,          3.352
      5,      38.5,     17.09,    760.45,       50.20,          3.418
      5,      38.5,     16.64,    781.34,       47.49,          3.328
      5,      38.5,     17.69,    735.07,       42.71,          3.538
      5,      38.5,     17.01,    764.77,       42.71,          3.401
      5,      38.5,     17.03,    763.90,       40.24,          3.406
      5,      38.5,     17.40,    747.48,       40.60,          3.481
      5,      38.5,     17.43,    746.41,       40.24,          3.485
      5,      38.5,     17.46,    744.69,       40.24,          3.492
      5,      38.5,     16.58,    783.64,       34.70,          3.317
      5,      38.5,     17.22,    754.56,       38.16,          3.444
      5,      38.5,     17.41,    746.90,       32.74,          3.483
      5,      38.5,     16.91,    769.07,       26.57,          3.381
      5,      38.5,     15.90,    817.37,       23.20,          3.181
      5,      38.5,     17.34,    749.32,       26.57,          3.468
      5,      38.5,     16.82,    772.63,       21.80,          3.363
      5,      38.5,     16.95,    766.48,       20.56,          3.390
      5,      38.5,     17.09,    760.24,       20.56,          3.418
      5,      38.5,     17.09,    760.29,       20.56,          3.418
      5,      38.5,     16.93,    767.65,       20.56,          3.385
      5,      38.5,     17.11,    759.32,       16.39,          3.422
      5,      38.5,     17.11,    759.32,       16.39,          3.422
      5,      38.5,     16.98,    765.20,       13.24,          3.396
      5,      38.5,     16.77,    774.49,       10.01,          3.354
      5,      38.5,     15.13,    858.42,        7.59,          3.027
      5,      38.5,     16.85,    771.17,        7.13,          3.369
      5,      38.5,     17.07,    761.00,        3.37,          3.415
      5,      38.5,     16.85,    771.22,        6.71,          3.369
      5,      38.5,     17.03,    762.86,        3.37,          3.406
      5,      38.5,     16.77,    774.54,        3.37,          3.354
      5,      38.5,     16.51,    786.64,        3.37,          3.303
      5,      38.5,     16.53,    785.81,        3.37,          3.306
      5,      38.5,     16.77,    774.46,        3.58,          3.354
      5,      38.5,     16.52,    786.57,        0.00,          3.303
      5,      38.5,     17.03,    762.91,        3.37,          3.406
      5,      38.5,     17.05,    762.25,        0.00,          3.409
      5,      38.5,     16.27,    798.65,        3.58,          3.255
